,shot_taker_name,is_orange,time,xg,shot,goal
0,Evolution,0,0,0.020698993,False,False
1,games5425898691,1,0,0.0077865208,False,False
2,Evolution,0,2,0.0018056923,False,False
3,enpitsu,1,2,0.0030304273,False,False
4,OgolCromgog,0,6,0.0007972692,False,False
5,OgolCromgog,0,11,0.004031641,False,False
6,enpitsu,1,13,0.009544436,False,False
7,OgolCromgog,0,13,0.11355803,False,False
8,enpitsu,1,13,0.0014035873,False,False
9,enpitsu,1,17,0.0045757056,False,False
10,Evolution,0,17,0.03489956,False,False
11,Evolution,0,19,0.14347447,False,False
12,OgolCromgog,0,21,0.79757464,True,True
13,games5425898691,1,22,0.00029676408,False,False
14,OgolCromgog,0,22,0.0032239195,False,False
15,games5425898691,1,26,0.0011535601,False,False
16,games5425898691,1,29,0.014855176,False,False
17,OgolCromgog,0,32,0.00046259188,False,False
18,enpitsu,1,37,0.09646366,False,False
19,enpitsu,1,41,0.12262118,False,False
20,Evolution,0,42,0.0004641285,False,False
21,Evolution,0,44,0.00061303325,False,False
22,Evolution,0,46,0.0062845484,False,False
23,games5425898691,1,49,0.015493628,False,False
24,games5425898691,1,51,0.023248533,False,False
25,games5425898691,1,52,0.0009854228,False,False
26,games5425898691,1,54,0.008496696,False,False
27,Evolution,0,55,0.00030266104,False,False
28,Evolution,0,58,0.0013415503,False,False
29,Evolution,0,59,0.0076861493,False,False
30,Evolution,0,60,0.00029936992,False,False
31,Evolution,0,60,0.00023774021,False,False
32,Evolution,0,61,0.0024438947,False,False
33,Evolution,0,61,0.0026151326,False,False
34,Evolution,0,61,0.0020252138,False,False
35,games5425898691,1,61,0.0005984751,False,False
36,Evolution,0,63,0.00051635347,False,False
37,games5425898691,1,63,0.0029182963,False,False
38,games5425898691,1,66,0.01548012,False,False
39,games5425898691,1,70,0.10264908,False,False
40,Evolution,0,71,0.07211322,False,False
41,Evolution,0,74,0.53915936,True,False
42,games5425898691,1,75,0.0002348058,False,False
43,OgolCromgog,0,78,0.0040987767,False,False
44,games5425898691,1,81,0.0009461855,False,False
45,Evolution,0,86,0.005146069,False,False
46,Evolution,0,88,0.08145967,False,False
47,games5425898691,1,90,0.00021215585,False,False
48,OgolCromgog,0,93,0.0386121,False,False
49,enpitsu,1,96,0.004213175,False,False
