,shot_taker_name,is_orange,time,xg,goal
0,Asius,1,33.0,0.56911963,True
1,Aldi_Süd20,1,43.0,0.16516116,False
2,enpitsu,0,82.0,0.010650274,False
3,Asius,1,93.0,0.8279005,False
4,Asius,1,93.0,0.6950676,False
5,Asius,1,105.0,0.047279388,False
6,Aldi_Süd20,1,110.0,0.09681976,False
7,Asius,1,114.0,0.0147985965,False
8,Aldi_Süd20,1,193.0,0.29712048,False
9,Asius,1,199.0,0.23799327,False
10,enpitsu,0,241.0,0.52445436,True
11,Aldi_Süd20,1,253.0,0.11660499,False
12,enpitsu,0,266.0,0.010148713,False
13,Asius,1,290.0,0.056437057,False
14,Asius,1,336.0,0.025888516,False
15,enpitsu,0,352.0,0.28225514,False
16,enpitsu,0,399.0,0.62378997,True
