,shot_taker_name,is_orange,time,xg,goal
0,Slaze_KaRmA,0,0,0.0024696551,False
1,enpitsu,1,55,0.5747151,True
2,games5425898691,1,86,0.04177806,False
3,FuLLeR_Vyteko,0,93,0.6557103,True
4,FuLLeR_Vyteko,0,116,0.062616006,True
5,Slaze_KaRmA,0,139,0.36486068,True
6,Slaze_KaRmA,0,148,0.18719846,False
7,games5425898691,1,171,0.24926251,True
8,Slaze_KaRmA,0,172,0.007892548,False
9,enpitsu,1,178,0.74336255,False
10,enpitsu,1,178,0.84641147,True
11,FuLLeR_Vyteko,0,189,0.06658918,False
12,Slaze_KaRmA,0,221,0.7687305,False
13,FuLLeR_Vyteko,0,222,0.3230077,True
14,games5425898691,1,233,0.46317497,False
15,FuLLeR_Vyteko,0,243,0.3639481,True
16,Slaze_KaRmA,0,251,0.26195607,False
17,FuLLeR_Vyteko,0,268,0.113765776,True
