,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,iPewbzz,0,0,0.0024314586,False,False,167
1,enpitsu,1,0,0.0022538314,False,False,169
2,Resenix,0,3,0.0002853375,False,False,258
3,Resenix,0,4,0.0011287191,False,False,285
4,enpitsu,1,4,0.04542706,False,False,286
5,iPewbzz,0,6,0.031748347,False,False,348
6,games5425898691,1,9,0.0010890383,False,False,425
7,Resenix,0,12,0.040770516,False,False,509
8,enpitsu,1,15,0.00015038317,False,False,581
9,enpitsu,1,15,8.277873e-05,False,False,595
10,games5425898691,1,17,0.0013919491,False,False,636
11,iPewbzz,0,19,0.02234157,False,False,703
12,enpitsu,1,22,0.00014636456,False,False,779
13,iPewbzz,0,23,0.010223279,False,False,817
14,enpitsu,1,27,0.00036160884,False,False,917
15,Resenix,0,28,0.074456744,False,False,961
16,enpitsu,1,28,0.046405587,False,False,962
17,enpitsu,1,33,0.037309323,False,False,1088
18,enpitsu,1,34,0.13727441,True,False,1126
19,enpitsu,1,36,0.53897953,True,False,1173
20,games5425898691,1,38,0.9720008,True,True,1227
21,iPewbzz,0,38,0.008010698,False,False,1485
22,enpitsu,1,38,0.0068582217,False,False,1487
23,Resenix,0,43,0.00029959978,False,False,1622
24,Resenix,0,45,0.038462278,False,False,1663
25,iPewbzz,0,47,0.026789408,False,False,1719
26,iPewbzz,0,51,0.026850117,False,False,1824
27,Resenix,0,51,0.5216913,False,False,1850
28,iPewbzz,0,54,0.21144687,False,False,1923
29,iPewbzz,0,56,0.53485566,False,False,1967
30,Resenix,0,62,0.009262051,False,False,2138
31,enpitsu,1,64,0.019047646,False,False,2186
32,iPewbzz,0,67,0.0020939321,False,False,2279
33,Resenix,0,69,0.00041112673,False,False,2326
34,games5425898691,1,72,0.0003166421,False,False,2408
35,games5425898691,1,74,0.001586373,False,False,2468
36,Resenix,0,75,0.07758397,False,False,2507
37,enpitsu,1,78,0.00021266824,False,False,2567
38,Resenix,0,79,0.0073476518,False,False,2600
39,iPewbzz,0,81,0.35838392,True,False,2667
40,enpitsu,1,81,0.021089882,False,False,2668
41,Resenix,0,83,0.00053043745,False,False,2727
42,enpitsu,1,86,0.3197531,False,False,2795
43,Resenix,0,88,0.0012037652,False,False,2852
44,enpitsu,1,88,0.113489375,False,False,2854
45,Resenix,0,88,0.00060295925,False,False,2855
46,games5425898691,1,91,0.027358346,False,False,2934
47,Resenix,0,93,0.000525532,False,False,3004
48,iPewbzz,0,96,0.08751604,False,False,3065
49,Resenix,0,102,0.40646625,False,False,3225
50,games5425898691,1,106,0.0020901414,False,False,3346
51,Resenix,0,109,0.0028507172,False,False,3420
52,Resenix,0,113,0.0013670126,False,False,3533
53,iPewbzz,0,115,0.0022220048,False,False,3608
54,iPewbzz,0,121,0.00032639346,False,False,3769
55,enpitsu,1,122,0.00017478065,False,False,3795
56,enpitsu,1,125,0.0006152704,False,False,3863
57,Resenix,0,125,0.22812255,False,False,3866
58,Resenix,0,125,0.0024084994,False,False,3875
59,enpitsu,1,125,0.0010528408,False,False,3880
60,Resenix,0,125,0.004100646,False,False,3882
61,enpitsu,1,126,0.00044948593,False,False,3883
62,Resenix,0,126,0.0027556338,False,False,3885
63,enpitsu,1,126,0.00037873304,False,False,3893
64,enpitsu,1,127,0.00032431926,False,False,3912
65,iPewbzz,0,127,0.0012672866,False,False,3914
66,Resenix,0,127,0.017109374,False,False,3918
67,games5425898691,1,128,0.0069863335,False,False,3965
68,enpitsu,1,130,0.029354366,False,False,4018
69,Resenix,0,133,0.0006168199,False,False,4085
70,enpitsu,1,133,0.23530716,False,False,4088
71,Resenix,0,133,0.00080797315,False,False,4089
72,enpitsu,1,133,0.07550976,False,False,4090
73,games5425898691,1,135,0.2222584,False,False,4155
74,iPewbzz,0,135,0.0012520828,False,False,4156
75,Resenix,0,141,0.23308179,False,False,4310
76,enpitsu,1,144,0.011297934,False,True,4381
77,enpitsu,1,148,0.00095301494,False,False,4766
78,iPewbzz,0,150,0.21235684,True,False,4819
79,games5425898691,1,152,0.00035506507,False,False,4864
80,enpitsu,1,155,9.443092e-05,False,False,4945
81,Resenix,0,157,0.015104282,False,False,5008
82,games5425898691,1,159,0.001117585,False,False,5050
83,Resenix,0,161,0.0053390763,False,False,5115
84,iPewbzz,0,163,0.00351802,False,False,5179
85,iPewbzz,0,164,0.03539976,False,False,5199
86,iPewbzz,0,165,0.2153335,False,False,5224
87,iPewbzz,0,166,0.036426015,False,False,5252
88,games5425898691,1,166,0.0035177108,False,False,5255
89,games5425898691,1,169,0.07597926,False,False,5326
90,games5425898691,1,171,0.009253847,False,False,5399
91,Resenix,0,173,0.0017088344,False,False,5441
92,games5425898691,1,176,0.010523926,False,False,5526
93,iPewbzz,0,178,0.00031644054,False,False,5594
94,iPewbzz,0,180,0.0022624645,False,False,5647
95,iPewbzz,0,182,0.00083742343,False,False,5681
96,iPewbzz,0,183,0.008757446,False,False,5735
97,Resenix,0,185,0.0004279385,False,False,5772
98,iPewbzz,0,187,0.009845643,False,False,5831
99,games5425898691,1,190,0.00019143989,False,False,5917
100,games5425898691,1,193,0.0040337765,False,False,5996
101,games5425898691,1,193,0.0065608076,False,False,6007
102,games5425898691,1,194,0.0084103765,False,False,6019
103,games5425898691,1,195,0.08708552,False,False,6038
104,Resenix,0,195,0.0024107355,False,False,6061
