,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,0,33,0.062565885,False
1,games5425898691,0,33,0.04931201,False
2,enpitsu,0,36,0.81057763,True
3,Xx_nic0laturboXx,1,37,0.003331019,False
4,Xx_nic0laturboXx,1,60,0.5537841,True
5,Xx_nic0laturboXx,1,105,0.8984691,False
6,Martuccidaniele_,1,122,0.73780113,True
7,Martuccidaniele_,1,139,0.05394686,True
8,Xx_nic0laturboXx,1,161,0.49136564,True
9,Martuccidaniele_,1,168,0.2862025,False
10,Xx_nic0laturboXx,1,179,0.18183127,False
11,enpitsu,0,204,0.074979864,False
12,enpitsu,0,227,0.37160164,False
13,enpitsu,0,270,0.32901323,True
14,Martuccidaniele_,1,282,0.28518033,False
15,Martuccidaniele_,1,282,0.65602744,False
