,shot_taker_name,is_orange,time,xg,goal
0,enpitsu,1,8.0,0.7209299,True
1,Hero W sharingan,0,89.0,0.11801542,False
2,enpitsu,1,110.0,0.17100842,False
3,Hero W sharingan,0,142.0,0.10497212,False
4,Hero W sharingan,0,143.0,0.09778479,False
5,enpitsu,1,180.0,0.05575772,True
6,enpitsu,1,183.0,0.02900627,False
7,games5425898691,1,188.0,0.28101793,False
8,Benzerr_,0,215.0,0.81852424,True
9,Benzerr_,0,229.0,0.04144376,True
10,enpitsu,1,251.0,0.4154215,False
11,Hero W sharingan,0,310.0,0.087317966,False
12,Hero W sharingan,0,310.0,0.08167536,False
13,Hero W sharingan,0,311.0,0.20898081,False
14,Hero W sharingan,0,311.0,0.6175384,False
15,Hero W sharingan,0,312.0,0.106554404,False
16,Hero W sharingan,0,312.0,0.049824554,True
