,shot_taker_name,is_orange,time,xg,goal
0,enpitsu,0,56.0,0.57062,True
1,Tlacc_xx,1,63.0,0.22079575,True
2,probsbbs,1,98.0,0.075231485,False
3,games5425898691,0,169.0,0.50178635,True
4,Tlacc_xx,1,226.0,0.5295582,True
5,games5425898691,0,230.0,0.6591115,False
6,enpitsu,0,232.0,0.7590684,True
7,enpitsu,0,233.0,0.005074025,False
8,games5425898691,0,242.0,0.90854776,False
9,probsbbs,1,253.0,0.0131151965,False
10,probsbbs,1,277.0,0.16400683,False
11,games5425898691,0,287.0,0.7512897,True
12,enpitsu,0,,0.26179805,False
