,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,games5425898691,0,0,0.03912043,True,False,177
1,?,1,2,0.004629248,False,False,483
2,games5425898691,0,2,0.046919353,False,False,487
3,games5425898691,0,6,0.42357886,False,False,602
4,requiem of souls,1,6,0.00028600288,False,False,604
5,requiem of souls,1,9,0.002699589,False,False,683
6,games5425898691,0,11,0.0037985027,False,False,737
7,requiem of souls,1,13,0.0014414493,False,False,784
8,requiem of souls,1,14,0.007968212,False,False,833
9,requiem of souls,1,15,0.01115497,True,False,847
10,requiem of souls,1,15,0.36661962,True,False,860
11,requiem of souls,1,16,0.052500132,True,False,871
12,enpitsu,0,16,0.00070648437,False,False,873
13,?,1,17,0.00087813113,False,False,899
14,?,1,18,0.00029403958,False,False,926
15,?,1,18,0.00040606436,False,False,942
16,?,1,19,0.00032113024,False,False,955
17,?,1,19,0.00050065597,False,False,973
18,?,1,21,0.0013655378,False,False,1024
19,requiem of souls,1,30,0.02260111,True,False,1269
20,?,1,32,0.64865535,True,True,1326
21,requiem of souls,1,33,0.0004284379,False,False,1585
22,enpitsu,0,37,0.01472923,False,False,1693
23,enpitsu,0,39,0.06731601,True,False,1757
24,requiem of souls,1,40,0.0020167162,False,False,1796
25,requiem of souls,1,43,0.00055505097,False,False,1880
26,games5425898691,0,45,0.08439311,False,False,1933
27,requiem of souls,1,48,0.0008708813,False,False,2005
28,requiem of souls,1,49,0.0008039748,False,False,2034
29,requiem of souls,1,49,0.00065229443,False,False,2041
30,requiem of souls,1,50,0.0042181048,False,False,2056
31,games5425898691,0,50,0.016332045,False,False,2058
32,requiem of souls,1,57,0.0006629984,False,False,2262
33,enpitsu,0,60,0.00031066115,False,False,2343
34,games5425898691,0,62,2.7810333e-05,False,False,2401
35,games5425898691,0,63,0.00021051621,False,False,2412
36,games5425898691,0,63,0.0028989785,False,False,2423
37,games5425898691,0,64,0.007215712,False,False,2437
38,requiem of souls,1,69,0.0062896903,False,False,2581
39,requiem of souls,1,71,0.082841806,False,False,2643
40,games5425898691,0,74,0.00043543542,False,False,2716
41,games5425898691,0,77,0.008003596,False,False,2808
42,games5425898691,0,81,0.1265952,True,True,2922
43,games5425898691,0,84,0.011360016,True,False,3239
44,requiem of souls,1,85,0.0007545919,False,False,3275
45,requiem of souls,1,91,0.11955378,False,False,3440
46,games5425898691,0,94,0.0012990513,False,False,3538
47,games5425898691,0,98,0.31304044,False,False,3626
48,enpitsu,0,99,0.8434317,True,True,3676
49,enpitsu,0,100,0.002180545,False,False,3940
50,requiem of souls,1,100,0.0014870812,False,False,3943
51,enpitsu,0,106,0.00228743,False,False,4115
52,enpitsu,0,107,0.022820791,False,False,4126
53,requiem of souls,1,108,0.27363724,False,False,4154
54,enpitsu,0,111,0.00015242306,False,False,4246
55,enpitsu,0,115,0.00037793865,False,False,4359
56,enpitsu,0,116,0.014584751,False,False,4384
57,enpitsu,0,117,0.007659657,False,False,4399
58,enpitsu,0,117,0.0032992533,False,False,4408
59,enpitsu,0,117,0.0052758134,False,False,4419
60,games5425898691,0,118,0.0014578237,False,False,4439
61,enpitsu,0,118,0.042114574,False,False,4449
62,requiem of souls,1,119,0.0006075899,False,False,4469
63,requiem of souls,1,123,0.006202268,False,False,4574
64,requiem of souls,1,125,0.010081908,False,False,4626
65,?,1,126,0.23598607,False,False,4656
66,enpitsu,0,130,0.00010601257,False,False,4763
67,?,1,132,0.0012602811,False,False,4825
68,?,1,133,0.0009379229,False,False,4843
69,?,1,135,0.0010425384,False,False,4917
70,?,1,138,0.046304397,False,False,4979
71,games5425898691,0,139,0.00069363846,False,False,5015
72,games5425898691,0,142,0.07645666,False,False,5099
73,games5425898691,0,145,0.011455354,False,False,5179
74,requiem of souls,1,145,8.5587984e-05,False,False,5183
75,requiem of souls,1,148,0.04044072,False,False,5269
76,enpitsu,0,151,0.0017982929,False,False,5343
77,enpitsu,0,152,0.0029163808,False,False,5379
78,games5425898691,0,154,0.0018421938,False,False,5433
79,games5425898691,0,155,0.0027414907,False,False,5455
80,requiem of souls,1,157,0.10011354,False,False,5521
81,games5425898691,0,160,0.00021081248,False,False,5590
82,games5425898691,0,162,0.00848491,False,False,5635
83,?,1,164,0.0017952841,False,False,5690
84,games5425898691,0,166,0.0108527215,False,False,5767
85,requiem of souls,1,168,0.056911986,False,False,5815
86,enpitsu,0,171,0.001398916,False,False,5889
87,enpitsu,0,174,0.0014377752,False,False,5977
88,games5425898691,0,174,0.0016238751,False,True,5979
89,?,1,178,0.0032007545,False,False,6347
90,requiem of souls,1,182,0.010317668,False,False,6455
91,enpitsu,0,184,0.002801361,False,False,6514
92,?,1,187,0.0012562505,False,False,6576
93,?,1,188,0.010110611,False,False,6607
94,requiem of souls,1,189,0.122308046,False,False,6644
95,games5425898691,0,190,0.0005055498,False,False,6680
96,?,1,194,0.015674908,False,False,6769
97,enpitsu,0,196,0.0023262824,False,False,6841
98,?,1,199,0.0051823375,False,False,6931
99,?,1,200,0.020900456,False,False,6945
100,?,1,201,0.0069907974,False,False,6971
101,?,1,201,0.0063673584,False,False,6979
102,?,1,202,0.019434536,False,False,6993
103,?,1,204,0.7635701,False,False,7049
104,?,1,204,0.030293772,False,False,7062
105,?,1,204,0.031329103,False,False,7064
106,enpitsu,0,204,0.0007131759,False,False,7065
107,games5425898691,0,206,0.00030181475,False,False,7097
108,games5425898691,0,206,0.00010582904,False,False,7110
109,games5425898691,0,207,0.0017187878,False,False,7139
110,games5425898691,0,210,0.009341533,False,False,7220
111,enpitsu,0,212,0.098232396,False,False,7276
