,shot_taker_name,is_orange,time,xg,goal
0,TRICKY963,0,4,0.51487786,False
1,Mubss,0,42,0.25691745,False
2,Mubss,0,43,0.14596605,False
3,Mubss,0,43,0.8525974,True
4,enpitsu,1,65,0.7022734,False
5,TRICKY963,0,139,0.70915437,False
6,TRICKY963,0,158,0.09990303,False
7,enpitsu,1,206,0.89689964,True
8,TRICKY963,0,223,0.15842475,False
9,TRICKY963,0,243,0.40903407,False
10,TRICKY963,0,246,0.67489636,True
11,games5425898691,1,279,0.17968296,True
12,enpitsu,1,283,0.095664255,False
13,TRICKY963,0,292,0.011864759,False
