,shot_taker_name,is_orange,time,xg,goal
0,yacine42152,1,28,0.2705493,False
1,yacine42152,1,28,0.39859325,False
2,yacine42152,1,30,0.7675993,True
3,Natsu-du-42,1,48,0.07658079,False
4,Natsu-du-42,1,63,0.013675611,False
5,yacine42152,1,127,0.8710919,True
6,enpitsu,0,146,0.74992925,True
7,Natsu-du-42,1,156,0.15237686,False
8,Natsu-du-42,1,177,0.035495155,False
9,yacine42152,1,183,0.7090965,True
10,yacine42152,1,186,0.001087041,False
11,enpitsu,0,214,0.60326153,False
12,enpitsu,0,242,0.45580202,True
13,Natsu-du-42,1,265,0.20106687,False
14,yacine42152,1,275,0.6816011,True
15,enpitsu,0,283,0.6342974,True
16,games5425898691,0,285,0.58834594,False
