,shot_taker_name,is_orange,time,xg,goal
0,Xxguruguillo74xX,0,9,0.2174599,True
1,games5425898691,1,31,0.46922168,False
2,enpitsu,1,34,0.107705295,True
3,enpitsu,1,48,0.09630578,False
4,Carlagr27,0,60,0.70628214,True
5,Xxguruguillo74xX,0,64,0.19988793,False
6,Xxguruguillo74xX,0,65,0.12360301,False
7,games5425898691,1,130,0.2415234,False
8,Carlagr27,0,139,0.47465736,True
9,games5425898691,1,185,0.19875145,False
10,enpitsu,1,212,0.31573442,False
11,enpitsu,1,212,0.60922796,True
12,games5425898691,1,232,0.19431223,True
13,enpitsu,1,249,0.08981791,False
