,shot_taker_name,is_orange,time,xg,goal
0,enpitsu,0,0,0.0017625911,False
1,enpitsu,0,2,0.4510661,False
2,tricaespinhas,1,9,0.11162265,False
3,tricaespinhas,1,10,0.16223483,False
4,tricaespinhas,1,11,0.7730399,False
5,tricaespinhas,1,11,0.5044646,True
6,enpitsu,0,17,0.2879297,False
7,shakz_m2855,1,30,0.06049793,False
8,tricaespinhas,1,45,0.6717719,False
9,tricaespinhas,1,46,0.9584967,True
10,enpitsu,0,88,0.12574272,False
11,enpitsu,0,105,0.17032884,False
12,games5425898691,0,108,0.02162529,False
13,games5425898691,0,161,0.6835045,False
14,tricaespinhas,1,208,0.052192878,False
15,games5425898691,0,213,0.78240526,False
16,games5425898691,0,216,0.9830284,True
17,shakz_m2855,1,256,0.30081895,True
18,tricaespinhas,1,260,0.06637083,False
19,games5425898691,0,284,0.6357498,True
20,games5425898691,0,290,0.25815782,False
