,shot_taker_name,is_orange,time,xg,goal
0,enpitsu,1,0,0.017175581,False
1,FAZE Tina<3,0,20,0.2889701,False
2,Salt,0,27,0.030804586,False
3,FAZE Tina<3,0,102,0.121604696,False
4,games5425898691,1,175,0.622258,False
5,Salt,0,183,0.16142614,False
6,Salt,0,184,0.5428008,False
7,Salt,0,184,0.3246915,False
8,Salt,0,204,0.11020222,False
9,games5425898691,1,209,0.1323432,True
10,enpitsu,1,226,0.16573837,True
11,Salt,0,236,0.013553367,False
12,enpitsu,1,254,0.06418673,False
13,FAZE Tina<3,0,273,0.14157361,False
14,FAZE Tina<3,0,274,0.70812184,False
15,FAZE Tina<3,0,274,0.44119424,False
16,FAZE Tina<3,0,275,0.8041926,True
17,FAZE Tina<3,0,276,0.0015464873,False
18,Salt,0,300,0.13712949,False
