,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,M4Kodik,1,0.0,0.0015029608,False,False,170
1,games5425898691,0,0.0,0.00043386672,False,False,172
2,Zathaus,1,2.0,0.00017161507,False,False,225
3,Zathaus,1,3.0,0.0044536935,False,False,265
4,Zathaus,1,3.0,0.0023216743,False,False,269
5,enpitsu,0,7.0,0.00049346505,False,False,365
6,enpitsu,0,9.0,0.0033319802,False,False,420
7,Zathaus,1,11.0,3.681371e-05,False,False,483
8,Zathaus,1,12.0,0.0007061794,False,False,507
9,Zathaus,1,13.0,0.0002936983,False,False,550
10,Zathaus,1,15.0,0.0033335467,False,False,586
11,enpitsu,0,15.0,0.02835759,False,False,607
12,Zathaus,1,19.0,0.0005129082,False,False,696
13,M4Kodik,1,19.0,7.929176e-05,False,False,711
14,M4Kodik,1,22.0,0.002977179,False,False,790
15,M4Kodik,1,26.0,0.0004052225,False,False,897
16,M4Kodik,1,28.0,0.0031307866,False,False,939
17,enpitsu,0,29.0,0.00024213817,False,False,982
18,games5425898691,0,32.0,0.015065522,False,False,1075
19,Zathaus,1,33.0,0.0019661917,False,False,1079
20,Zathaus,1,38.0,0.03539287,False,False,1215
21,games5425898691,0,39.0,0.0015065668,False,False,1261
22,Zathaus,1,39.0,0.19184436,False,False,1265
23,M4Kodik,1,42.0,0.02122221,False,False,1337
24,enpitsu,0,45.0,0.0018179881,False,False,1421
25,enpitsu,0,49.0,0.060654707,False,False,1517
26,Zathaus,1,49.0,9.851084e-05,False,False,1519
27,M4Kodik,1,51.0,0.04223069,False,False,1583
28,games5425898691,0,54.0,9.400012e-05,False,False,1654
29,Zathaus,1,56.0,0.016265135,False,False,1733
30,enpitsu,0,59.0,0.0004033923,False,False,1803
31,enpitsu,0,61.0,0.00991132,False,False,1865
32,M4Kodik,1,63.0,0.04265458,False,False,1903
33,enpitsu,0,63.0,0.019088242,False,False,1906
34,Zathaus,1,68.0,0.06471577,True,False,2043
35,games5425898691,0,68.0,0.0313244,False,False,2044
36,M4Kodik,1,72.0,0.011360113,False,False,2174
37,enpitsu,0,75.0,6.98769e-05,False,False,2239
38,enpitsu,0,77.0,0.0020275118,False,False,2307
