,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,enpitsu,1,0,0.00070898497,False,False,171
1,games5425898691,1,3,0.0053848997,False,False,271
2,games5425898691,1,5,0.07788921,False,False,310
3,Cyarei4,0,6,0.0006368962,False,False,347
4,games5425898691,1,8,0.0037323122,False,False,407
5,Alexom_14,0,11,0.13895142,False,False,478
6,Alexom_14,0,15,0.1685429,False,False,585
7,enpitsu,1,16,0.0011595229,False,False,635
8,games5425898691,1,20,0.0015988294,False,False,722
9,games5425898691,1,24,0.004704122,False,False,855
10,games5425898691,1,27,0.08145797,False,False,918
11,games5425898691,1,32,0.005701448,False,False,1058
12,enpitsu,1,35,0.13734642,False,False,1147
13,Cyarei4,0,35,0.001804553,False,False,1149
14,enpitsu,1,35,0.18036078,True,False,1150
15,Alexom_14,0,35,0.0002964109,False,False,1152
16,Alexom_14,0,37,0.005397574,False,False,1191
17,games5425898691,1,37,0.3508839,False,False,1194
18,Cyarei4,0,41,0.113979094,False,False,1298
19,enpitsu,1,42,0.0012950364,False,False,1343
20,enpitsu,1,45,0.12819423,True,True,1410
21,Alexom_14,0,47,0.008168003,True,False,1729
22,games5425898691,1,47,0.04848404,False,False,1731
23,enpitsu,1,55,0.18345743,False,False,1938
24,Alexom_14,0,56,0.0015582801,False,False,1976
25,Alexom_14,0,59,0.027317112,False,False,2053
26,enpitsu,1,64,0.00015386345,False,False,2183
27,Alexom_14,0,66,0.023078838,False,False,2240
28,games5425898691,1,67,0.00023204501,False,False,2282
29,games5425898691,1,69,0.0034683067,False,False,2338
30,Cyarei4,0,71,0.014310559,False,False,2380
31,games5425898691,1,75,0.00027592052,False,False,2501
32,games5425898691,1,77,0.0010584207,False,False,2556
33,games5425898691,1,80,0.012369102,True,False,2625
34,Alexom_14,0,82,0.00021961347,False,False,2689
35,enpitsu,1,86,0.013012337,False,False,2812
36,Alexom_14,0,89,0.00012035778,False,False,2879
37,Alexom_14,0,93,0.082118236,False,False,2987
38,Alexom_14,0,97,0.0077428287,False,False,3091
39,enpitsu,1,97,0.00021302055,False,False,3092
40,Cyarei4,0,99,0.0026131172,False,False,3147
41,games5425898691,1,103,0.00011102817,False,False,3257
42,Alexom_14,0,106,0.027338348,False,False,3358
43,Cyarei4,0,107,0.0034918047,False,False,3369
44,Alexom_14,0,112,0.0065247645,False,False,3502
45,enpitsu,1,114,0.009530845,False,False,3581
46,Cyarei4,0,116,0.051100712,False,False,3635
47,Cyarei4,0,123,0.58027154,True,True,3829
48,Alexom_14,0,124,0.012639759,False,False,4082
49,enpitsu,1,129,0.00035444784,False,False,4221
50,enpitsu,1,131,0.0014593098,False,False,4285
51,enpitsu,1,133,0.21936214,False,False,4347
52,Alexom_14,0,135,0.0019744695,False,False,4388
53,games5425898691,1,137,0.00080182985,False,False,4444
54,Cyarei4,0,139,0.05566499,False,False,4517
55,Alexom_14,0,143,0.5094158,True,False,4608
56,Cyarei4,0,145,0.0046546636,False,False,4683
57,games5425898691,1,147,0.00067880057,False,False,4730
58,enpitsu,1,151,0.019738043,False,False,4845
59,games5425898691,1,153,0.0929327,False,False,4893
60,Alexom_14,0,156,0.0002139718,False,False,4964
61,Alexom_14,0,157,0.0009433747,False,False,5012
62,Alexom_14,0,159,0.00057381595,False,False,5046
63,enpitsu,1,159,0.027546206,False,False,5047
64,enpitsu,1,161,0.05042472,True,True,5114
65,Cyarei4,0,162,0.00020160302,False,False,5142
66,Cyarei4,0,162,0.0011180956,False,False,5401
67,Cyarei4,0,163,0.00040278194,False,False,5410
68,enpitsu,1,164,0.0028884807,False,False,5455
69,enpitsu,1,167,0.06022637,True,False,5516
70,Alexom_14,0,168,0.0030746725,False,False,5544
71,Alexom_14,0,170,0.14581646,False,False,5598
72,Alexom_14,0,174,0.09006578,False,False,5715
73,enpitsu,1,175,0.0002048625,False,False,5750
74,games5425898691,1,178,0.0002888897,False,False,5836
75,Cyarei4,0,181,0.0030854724,False,False,5922
76,Alexom_14,0,183,0.0310335,True,True,5976
77,games5425898691,1,185,0.00023797652,False,False,6027
78,games5425898691,1,186,0.015408983,False,False,6299
79,Alexom_14,0,187,0.00089804846,False,False,6329
80,Cyarei4,0,188,0.0085409945,False,False,6369
81,Cyarei4,0,190,0.049579866,False,False,6416
82,enpitsu,1,192,0.004908186,False,False,6459
83,Alexom_14,0,195,0.016276278,False,False,6540
84,enpitsu,1,195,0.01787159,False,False,6541
85,games5425898691,1,197,0.3338247,False,False,6615
86,enpitsu,1,201,0.003990297,False,False,6715
87,Cyarei4,0,202,0.00014186339,False,False,6748
88,games5425898691,1,205,0.035547946,False,False,6837
89,Cyarei4,0,208,0.0007537517,False,False,6901
