,shot_taker_name,is_orange,time,xg,shot,goal
0,enpitsu,0,0.0,0.007972774,False,False
1,WheelieSambo,1,0.0,0.00077900337,False,False
2,younes079,1,2.0,0.00078257656,False,False
3,enpitsu,0,2.0,0.0009900235,False,False
4,games5425898691,0,5.0,0.0029377076,False,False
5,WheelieSambo,1,7.0,0.00785661,False,False
6,games5425898691,0,10.0,0.00581448,False,False
7,WheelieSambo,1,15.0,0.00020930954,False,False
8,WheelieSambo,1,16.0,0.0007205774,False,False
9,WheelieSambo,1,18.0,0.0005474957,False,False
10,WheelieSambo,1,20.0,0.00019586677,False,False
11,WheelieSambo,1,21.0,0.0012860603,False,False
12,younes079,1,23.0,0.002408552,False,False
13,younes079,1,26.0,0.000954087,False,False
14,younes079,1,29.0,0.00015680522,False,False
15,younes079,1,30.0,0.00013450079,False,False
16,younes079,1,31.0,0.00016026822,False,False
17,WheelieSambo,1,33.0,0.0032400277,False,False
18,WheelieSambo,1,35.0,0.13850729,True,True
19,enpitsu,0,36.0,0.0023465224,False,False
20,younes079,1,36.0,0.0028091657,False,False
21,WheelieSambo,1,38.0,0.015751919,False,False
22,enpitsu,0,38.0,0.053296477,False,False
23,games5425898691,0,41.0,0.005660939,False,False
24,WheelieSambo,1,43.0,0.0011188447,False,False
25,WheelieSambo,1,46.0,0.018844716,False,False
26,enpitsu,0,48.0,7.350879e-05,False,False
27,younes079,1,51.0,0.0006770813,False,False
28,games5425898691,0,54.0,0.0034381233,False,False
29,WheelieSambo,1,57.0,1.1044293e-05,False,False
30,enpitsu,0,60.0,0.0019782316,False,False
31,younes079,1,64.0,0.000107652995,False,False
32,younes079,1,65.0,0.011490235,False,False
33,enpitsu,0,67.0,0.00046392196,False,False
34,WheelieSambo,1,70.0,0.013195281,False,False
35,WheelieSambo,1,74.0,0.0004174807,False,False
36,WheelieSambo,1,76.0,0.04974542,False,False
37,enpitsu,0,77.0,0.008434645,False,False
38,games5425898691,0,80.0,0.0074711344,False,False
39,games5425898691,0,80.0,0.0004214941,False,False
40,games5425898691,0,80.0,0.000818286,False,False
