,shot_taker_name,is_orange,time,xg,shot,goal
0,Sarah Lenti,1,0,0.0015289366,False,False
1,games5425898691,0,2,0.0003142848,False,False
2,enpitsu,0,9,0.00059706334,False,False
3,enpitsu,0,9,0.0042452863,False,False
4,enpitsu,0,11,0.042130657,False,False
5,Sarah Lenti,1,11,0.0002821995,False,False
6,Sarah Lenti,1,14,0.018750966,False,False
7,Jacques Célaire,1,14,0.003852702,False,False
8,Sarah Lenti,1,14,0.02267162,False,False
9,Sarah Lenti,1,18,0.17775893,True,True
10,Jacques Célaire,1,19,0.001069327,True,False
11,enpitsu,0,19,0.01242663,False,False
12,Jacques Célaire,1,19,0.0007016359,False,False
13,enpitsu,0,19,0.0019891672,False,False
14,enpitsu,0,19,0.0036951907,False,False
15,Sarah Lenti,1,20,0.012875663,True,False
16,games5425898691,0,22,0.00020847122,False,False
17,games5425898691,0,23,0.0070669693,False,False
18,Sarah Lenti,1,24,0.018980002,False,False
19,games5425898691,0,26,0.00014737624,False,False
20,games5425898691,0,30,0.0024561945,False,False
21,Jacques Célaire,1,35,0.0049414937,False,False
22,enpitsu,0,36,0.0127619635,False,False
23,Sarah Lenti,1,39,0.004402553,False,False
24,Jacques Célaire,1,43,0.23834763,True,False
25,games5425898691,0,44,0.00097630156,False,False
26,Sarah Lenti,1,46,0.0039720605,False,False
27,games5425898691,0,50,0.00013150407,False,False
28,games5425898691,0,57,0.010639975,False,False
29,Sarah Lenti,1,57,0.07714896,False,False
30,Jacques Célaire,1,62,0.046707578,False,False
31,Sarah Lenti,1,65,0.2659604,False,False
32,games5425898691,0,68,0.00011601821,False,False
33,Sarah Lenti,1,70,0.030464033,False,False
34,Jacques Célaire,1,72,0.0037230086,False,False
35,Jacques Célaire,1,74,0.5969223,True,True
36,enpitsu,0,74,0.0010094735,False,False
37,Sarah Lenti,1,74,0.0012798175,False,False
38,enpitsu,0,78,0.00039554297,False,False
39,enpitsu,0,80,0.00037546508,False,False
40,enpitsu,0,81,0.0007893513,False,False
41,games5425898691,0,83,0.008254655,False,False
42,Sarah Lenti,1,86,0.00062976434,False,False
43,enpitsu,0,89,0.00014365464,False,False
44,Jacques Célaire,1,89,0.09112107,False,False
45,games5425898691,0,95,0.0018389979,False,False
46,Jacques Célaire,1,97,0.0014896245,False,False
47,Jacques Célaire,1,99,0.44933856,True,False
48,enpitsu,0,99,0.00042017407,False,False
49,games5425898691,0,102,0.00013277022,False,False
50,games5425898691,0,106,0.0004534737,False,False
51,games5425898691,0,109,0.0018944083,False,False
52,Sarah Lenti,1,112,0.012326814,False,False
53,games5425898691,0,120,0.0021385602,False,False
54,Sarah Lenti,1,121,0.0011499949,False,False
55,games5425898691,0,121,0.005992264,False,False
56,Sarah Lenti,1,121,0.0015902219,False,False
57,enpitsu,0,123,0.003717973,False,False
58,Jacques Célaire,1,126,0.00010413486,False,False
59,games5425898691,0,128,0.121240124,False,False
60,Jacques Célaire,1,128,0.0085832905,False,False
61,enpitsu,0,134,0.0005007164,False,False
62,enpitsu,0,136,0.00020807842,False,False
63,enpitsu,0,136,0.00021022598,False,False
64,games5425898691,0,136,0.0004249018,False,False
65,games5425898691,0,138,0.00091098656,False,False
66,games5425898691,0,138,0.011526759,False,False
67,Jacques Célaire,1,140,0.00053868425,False,False
68,games5425898691,0,143,0.00024003722,False,False
69,games5425898691,0,143,0.0066227983,False,False
70,Jacques Célaire,1,143,0.002258261,False,False
71,games5425898691,0,148,0.00035313616,False,False
72,Sarah Lenti,1,150,0.1280103,True,True
73,enpitsu,0,152,0.00042763102,False,False
