,shot_taker_name,is_orange,time,xg,shot,goal
0,xxMosesTPD69xx,1,0,0.0031476368,False,False
1,games5425898691,0,0,0.016695254,False,False
2,Arkeo,1,2,0.29657298,False,False
3,xxMosesTPD69xx,1,8,0.22280854,False,False
4,enpitsu,0,13,0.010930691,False,False
5,enpitsu,0,13,0.005720011,False,False
6,enpitsu,0,15,0.00045403515,False,False
7,Arkeo,1,15,0.0050107096,False,False
8,xxMosesTPD69xx,1,19,0.11547272,False,False
9,games5425898691,0,20,0.0008262037,False,False
10,Arkeo,1,23,0.007898618,False,False
11,games5425898691,0,25,0.00031303693,False,False
12,Arkeo,1,27,0.00058675476,False,False
13,games5425898691,0,29,0.021777382,False,False
14,Arkeo,1,31,0.0021066302,False,False
15,Arkeo,1,34,0.009430559,False,False
16,xxMosesTPD69xx,1,35,0.17553769,True,False
17,enpitsu,0,36,0.0013546861,False,False
18,Arkeo,1,40,0.01595293,False,False
19,enpitsu,0,42,0.04809055,False,False
20,xxMosesTPD69xx,1,43,0.00055189576,False,False
21,enpitsu,0,44,0.006284367,False,False
22,games5425898691,0,46,0.097627506,False,False
23,Arkeo,1,49,0.00013893985,False,False
24,xxMosesTPD69xx,1,51,0.0009411478,False,False
25,games5425898691,0,52,0.0009496767,False,False
26,Arkeo,1,55,0.0035072728,False,False
27,enpitsu,0,58,0.040845204,False,False
28,games5425898691,0,64,0.04098094,False,False
29,Arkeo,1,69,0.0013977415,False,False
30,enpitsu,0,71,0.031782687,False,False
31,Arkeo,1,71,0.0007636361,False,False
32,enpitsu,0,74,0.12018581,False,False
33,xxMosesTPD69xx,1,74,0.0030400585,False,False
34,xxMosesTPD69xx,1,81,0.0056168367,False,False
35,xxMosesTPD69xx,1,82,0.35829538,True,False
36,enpitsu,0,83,0.0009660357,False,False
37,enpitsu,0,86,0.018450927,False,False
38,enpitsu,0,89,0.38981596,False,False
39,games5425898691,0,91,0.3118495,True,True
40,enpitsu,0,93,0.0032346253,False,False
41,xxMosesTPD69xx,1,96,0.16789939,False,False
42,games5425898691,0,97,0.0006832891,False,False
