,shot_taker_name,is_orange,time,xg,shot,goal
0,HudraRl,0,0,0.0027525078,True,False
1,games5425898691,1,0,0.004494474,False,False
2,Akasha4967,0,5,0.00023773796,False,False
3,Akasha4967,0,6,0.013155355,False,False
4,Akasha4967,0,11,0.00075997104,False,False
5,HudraRl,0,15,3.4735436e-05,False,False
6,HudraRl,0,22,0.0005906907,False,False
7,Akasha4967,0,23,3.3080385e-05,False,False
8,Akasha4967,0,24,3.973741e-05,False,False
9,Akasha4967,0,24,0.0005295623,False,False
10,Akasha4967,0,24,0.0019957172,False,False
11,games5425898691,1,24,0.0004899379,False,False
12,HudraRl,0,27,0.016706428,False,False
13,enpitsu,1,28,0.0068971817,False,False
14,HudraRl,0,31,0.003973404,True,False
15,games5425898691,1,34,0.0002306195,False,False
16,enpitsu,1,39,0.002586082,False,False
17,HudraRl,0,43,0.0004562746,False,False
18,games5425898691,1,45,0.0003021735,False,False
19,HudraRl,0,47,0.14404765,False,False
20,enpitsu,1,49,0.00020354883,False,False
21,Akasha4967,0,52,0.016269147,False,False
22,games5425898691,1,55,0.00068569556,False,False
23,HudraRl,0,58,0.011559708,False,False
24,enpitsu,1,61,0.00016842537,False,False
25,Akasha4967,0,62,0.46090513,False,False
26,games5425898691,1,64,0.030213041,False,False
27,HudraRl,0,66,6.446637e-05,False,False
28,games5425898691,1,70,0.004166381,True,False
29,Akasha4967,0,72,0.00048559142,False,False
30,enpitsu,1,72,0.5244317,False,False
31,games5425898691,1,75,0.004868801,False,False
32,Akasha4967,0,76,0.00059326243,False,False
33,Akasha4967,0,79,0.0035085229,False,False
34,Akasha4967,0,81,0.0007379678,False,False
35,enpitsu,1,85,0.0010149577,False,False
36,enpitsu,1,89,0.043905128,False,False
37,HudraRl,0,92,7.468951e-05,False,False
38,HudraRl,0,93,0.0003230405,False,False
39,HudraRl,0,95,0.04861279,False,False
40,HudraRl,0,96,0.0070448606,False,False
41,HudraRl,0,98,0.10598555,True,False
42,enpitsu,1,98,0.00045118848,False,False
43,Akasha4967,0,98,0.06799045,False,False
44,enpitsu,1,98,0.00028939804,False,False
45,games5425898691,1,104,0.000144445,False,False
46,games5425898691,1,108,0.0396686,False,False
47,HudraRl,0,112,5.1376224e-05,False,False
48,HudraRl,0,113,0.0012187719,False,False
49,enpitsu,1,115,0.0041996446,False,False
50,Akasha4967,0,117,0.0017440012,False,False
51,HudraRl,0,120,0.0056316,False,False
52,HudraRl,0,123,0.00010682265,False,False
53,enpitsu,1,126,0.0018715042,False,False
54,enpitsu,1,126,0.005681404,True,False
55,enpitsu,1,127,0.0014473489,False,False
56,Akasha4967,0,129,0.0016720456,False,False
57,enpitsu,1,133,0.00010647698,False,False
58,Akasha4967,0,135,0.0075245057,False,False
59,games5425898691,1,135,0.0043704147,False,False
60,HudraRl,0,139,0.03863866,False,False
61,Akasha4967,0,141,0.016477546,False,False
62,games5425898691,1,141,0.0062695546,False,False
63,games5425898691,1,147,0.00021036854,False,False
64,HudraRl,0,150,0.0007221771,False,False
65,HudraRl,0,152,0.0026592163,False,False
66,HudraRl,0,153,0.007833073,False,False
67,enpitsu,1,155,0.0053144456,False,False
68,HudraRl,0,160,0.00017042353,False,False
69,HudraRl,0,161,0.00013430369,False,False
70,games5425898691,1,161,0.5412689,True,False
71,HudraRl,0,161,5.0239643e-05,False,False
72,Akasha4967,0,164,0.0011894522,False,False
73,Akasha4967,0,165,0.02140518,False,False
74,Akasha4967,0,166,0.0029703178,False,False
75,games5425898691,1,173,0.0011799679,False,False
76,games5425898691,1,175,4.7708527e-05,False,False
77,Akasha4967,0,175,0.0017417918,False,False
78,HudraRl,0,177,0.5794565,True,False
79,enpitsu,1,178,0.00022484473,False,False
80,games5425898691,1,180,0.00011941305,False,False
81,Akasha4967,0,183,0.030596841,False,False
82,enpitsu,1,185,0.011126398,False,False
83,HudraRl,0,187,0.00045900547,False,False
84,enpitsu,1,187,0.15259011,False,False
85,HudraRl,0,188,0.0011103966,False,False
86,Akasha4967,0,191,0.00056755176,False,False
87,Akasha4967,0,194,0.0015168772,False,False
88,games5425898691,1,197,0.00055956026,False,False
89,games5425898691,1,200,0.005584478,False,False
90,enpitsu,1,204,0.002743696,False,False
91,Akasha4967,0,207,0.009408229,False,False
92,games5425898691,1,210,0.00097303983,False,False
93,games5425898691,1,213,3.4217806e-05,False,False
94,HudraRl,0,215,0.0074673872,False,False
95,Akasha4967,0,219,0.0025928568,False,False
96,Akasha4967,0,223,2.3788398e-05,False,False
97,games5425898691,1,223,0.00163389,False,False
98,games5425898691,1,225,0.0016261673,False,False
99,games5425898691,1,226,0.08378065,False,False
100,games5425898691,1,228,0.4388955,True,True
101,HudraRl,0,228,0.0042890674,True,False
102,enpitsu,1,230,0.0025416103,False,False
103,games5425898691,1,234,0.0059607746,False,False
104,games5425898691,1,235,0.008351212,False,False
105,Akasha4967,0,238,0.00017015124,False,False
106,Akasha4967,0,241,0.16655612,True,False
107,games5425898691,1,242,0.000312716,False,False
108,HudraRl,0,247,0.03072641,False,False
109,Akasha4967,0,252,0.7917087,True,True
110,HudraRl,0,252,0.003530863,False,False
111,games5425898691,1,252,0.025174553,False,False
112,enpitsu,1,256,0.004244224,True,False
113,Akasha4967,0,258,0.0019600322,False,False
114,games5425898691,1,261,0.00029176674,False,False
115,HudraRl,0,264,0.0016106993,False,False
116,HudraRl,0,265,0.00025340825,False,False
117,enpitsu,1,267,0.0010055365,False,False
118,Akasha4967,0,271,0.0057515497,False,False
119,HudraRl,0,276,0.000720872,False,False
120,HudraRl,0,278,0.0023266862,False,False
121,games5425898691,1,279,0.007145082,False,False
122,Akasha4967,0,280,0.009094297,False,False
123,Akasha4967,0,283,0.006721206,True,False
124,enpitsu,1,283,0.0036479882,False,False
125,enpitsu,1,286,0.008196232,False,False
126,HudraRl,0,286,0.0010255582,False,False
127,HudraRl,0,290,0.6545761,True,True
128,enpitsu,1,290,0.00039066363,False,False
129,enpitsu,1,291,0.00026551518,False,False
130,enpitsu,1,293,0.0046392954,False,False
131,Akasha4967,0,293,0.00081477885,False,False
132,games5425898691,1,294,0.028709585,False,False
133,games5425898691,1,297,0.014269487,False,False
134,enpitsu,1,298,0.004208274,False,False
135,Akasha4967,0,299,0.005623227,False,False
