,shot_taker_name,is_orange,time,xg,shot,goal
0,Juanrv99,0,0.0,0.00045095282,False,False
1,Juanrv99,0,0.0,0.00035849353,False,False
2,Bergholini,0,1.0,0.0018530373,False,False
3,Bergholini,0,3.0,0.0030279157,False,False
4,Bergholini,0,4.0,0.013672188,False,False
5,Juanrv99,0,7.0,0.89513737,False,False
6,games5425898691,1,10.0,0.022857442,False,False
7,games5425898691,1,12.0,0.0042755282,False,False
8,games5425898691,1,15.0,0.004647068,False,False
9,Juanrv99,0,16.0,0.0014081185,False,False
10,enpitsu,1,21.0,0.0068933093,True,True
11,Bergholini,0,23.0,0.0011945344,False,False
12,enpitsu,1,23.0,9.059689e-05,False,False
13,Bergholini,0,23.0,0.0004450856,False,False
14,enpitsu,1,23.0,0.00084975356,False,False
15,enpitsu,1,23.0,0.00060484314,False,False
16,enpitsu,1,24.0,0.0014349779,False,False
17,Juanrv99,0,24.0,0.009438822,True,False
18,enpitsu,1,24.0,0.0015908328,False,False
19,Bergholini,0,26.0,0.0005771693,False,False
20,Bergholini,0,28.0,0.0022589625,False,False
21,Bergholini,0,28.0,0.0008598902,False,False
22,Bergholini,0,29.0,0.0039170855,False,False
23,Bergholini,0,30.0,0.022911323,False,False
24,Bergholini,0,30.0,0.13533646,False,False
25,Juanrv99,0,34.0,0.00058389676,False,False
26,games5425898691,1,36.0,0.00080560177,False,False
27,games5425898691,1,38.0,0.0030526114,False,False
28,games5425898691,1,39.0,0.0028872285,False,False
29,games5425898691,1,40.0,0.0017126967,False,False
30,games5425898691,1,40.0,0.014546129,False,False
31,Bergholini,0,41.0,0.0009194958,False,False
32,Bergholini,0,45.0,0.00320294,False,False
33,Bergholini,0,49.0,0.07151178,True,False
34,Juanrv99,0,51.0,0.7229049,True,True
35,Juanrv99,0,52.0,0.0020328097,False,False
36,games5425898691,1,52.0,0.002936547,False,False
37,Bergholini,0,56.0,0.00023307296,False,False
38,Bergholini,0,58.0,0.047475014,False,False
39,enpitsu,1,60.0,0.0019911162,False,False
40,games5425898691,1,63.0,0.11175902,False,False
41,Juanrv99,0,68.0,5.0991166e-05,False,False
42,Juanrv99,0,68.0,0.0017553002,False,False
43,games5425898691,1,70.0,5.9989154e-05,False,False
44,games5425898691,1,73.0,9.6537406e-05,False,False
45,enpitsu,1,75.0,0.0013284367,False,False
46,Bergholini,0,77.0,0.009510939,False,False
47,enpitsu,1,78.0,0.012775703,False,False
48,Bergholini,0,82.0,0.11245022,False,False
49,games5425898691,1,84.0,0.0012720738,False,False
50,Juanrv99,0,84.0,0.19491167,False,False
51,enpitsu,1,89.0,0.04842907,False,False
52,enpitsu,1,94.0,0.00013753184,False,False
53,Bergholini,0,96.0,0.009785095,False,False
54,games5425898691,1,99.0,0.0081422655,True,True
55,Juanrv99,0,102.0,0.000704735,True,False
56,Bergholini,0,107.0,0.0003771927,False,False
57,Bergholini,0,108.0,0.00077374285,False,False
58,Bergholini,0,108.0,0.0049678306,False,False
59,Bergholini,0,110.0,0.2791746,True,True
60,Bergholini,0,112.0,0.0007668754,False,False
61,enpitsu,1,112.0,0.00020779273,False,False
62,enpitsu,1,112.0,0.0003005175,False,False
63,enpitsu,1,113.0,0.0008156555,False,False
64,Juanrv99,0,113.0,0.0012221164,False,False
65,Juanrv99,0,114.0,0.28719637,True,False
66,Juanrv99,0,115.0,0.71401876,True,False
67,games5425898691,1,115.0,0.000107473905,False,False
68,games5425898691,1,119.0,5.776518e-05,False,False
69,Juanrv99,0,120.0,0.0016335191,False,False
70,games5425898691,1,122.0,0.016962634,False,False
71,games5425898691,1,128.0,0.00040396187,False,False
72,enpitsu,1,130.0,0.00020582187,False,False
73,games5425898691,1,131.0,0.0016937694,False,False
74,enpitsu,1,135.0,0.13555886,True,False
75,Bergholini,0,135.0,0.00013454581,False,False
76,enpitsu,1,135.0,0.22184277,False,False
77,Bergholini,0,139.0,6.825669e-05,False,False
78,Bergholini,0,141.0,0.00013026998,False,False
79,Bergholini,0,141.0,0.0009189866,False,False
80,games5425898691,1,141.0,0.018437175,False,False
81,Juanrv99,0,141.0,0.00036910846,False,False
82,Juanrv99,0,144.0,0.0014559354,False,False
83,enpitsu,1,146.0,3.489786e-05,False,False
84,Juanrv99,0,148.0,0.4156185,True,True
85,Juanrv99,0,149.0,0.0031607826,False,False
86,games5425898691,1,149.0,0.0006392097,False,False
87,Juanrv99,0,149.0,0.0009239933,False,False
88,Bergholini,0,152.0,0.0005552767,False,False
89,enpitsu,1,155.0,0.008874987,False,False
90,Juanrv99,0,157.0,0.00047413423,False,False
91,Juanrv99,0,159.0,0.007933628,False,False
92,enpitsu,1,163.0,0.00032625222,False,False
93,Bergholini,0,165.0,0.00022535273,False,False
94,games5425898691,1,168.0,0.5761083,True,True
95,Bergholini,0,169.0,0.00096432347,False,False
96,games5425898691,1,174.0,0.015978139,True,False
97,Bergholini,0,175.0,0.00012474992,False,False
98,Bergholini,0,180.0,0.00043636808,False,False
99,Bergholini,0,180.0,0.00019179362,False,False
100,Bergholini,0,181.0,0.0017422007,False,False
101,games5425898691,1,181.0,0.011078224,False,False
102,Juanrv99,0,185.0,0.0003225878,False,False
103,Juanrv99,0,187.0,0.0015468362,False,False
104,games5425898691,1,189.0,0.014055847,False,False
105,Juanrv99,0,191.0,6.857324e-05,False,False
106,Bergholini,0,192.0,0.00020817904,False,False
107,enpitsu,1,194.0,0.0022712683,False,False
108,Bergholini,0,197.0,8.8255165e-06,False,False
109,Bergholini,0,198.0,5.415792e-05,False,False
110,Bergholini,0,199.0,0.0028100181,False,False
111,Juanrv99,0,204.0,0.064119905,True,False
112,enpitsu,1,205.0,0.0016211494,False,False
113,enpitsu,1,207.0,0.0041354722,False,False
