,shot_taker_name,is_orange,time,xg,shot,goal
0,games5425898691,1,0.0,0.003648042,True,False
1,ellcryse29,0,0.0,0.008871896,False,False
2,enpitsu,1,5.0,0.004123816,False,False
3,enpitsu,1,9.0,0.07153144,False,False
4,games5425898691,1,12.0,0.004760531,True,False
5,ellcryse29,0,13.0,0.0002686078,False,False
6,enpitsu,1,15.0,0.031606577,False,False
7,games5425898691,1,17.0,0.14320941,False,False
8,games5425898691,1,19.0,0.0005121717,False,False
9,ellcryse29,0,23.0,0.00052568107,False,False
10,games5425898691,1,24.0,2.3719644e-05,False,False
11,games5425898691,1,25.0,3.4280125e-05,False,False
12,games5425898691,1,25.0,6.26429e-05,False,False
13,ellcryse29,0,27.0,0.0042659915,False,False
14,games5425898691,1,27.0,0.00030794236,False,False
15,ellcryse29,0,29.0,0.34016827,False,False
16,games5425898691,1,31.0,0.0014406301,False,False
17,games5425898691,1,37.0,0.0003879071,False,False
18,games5425898691,1,40.0,0.026824214,False,False
19,STR_Valevlk,0,40.0,0.0008460883,False,False
20,enpitsu,1,43.0,0.0034923872,False,False
21,ellcryse29,0,45.0,0.00016847932,False,False
22,games5425898691,1,47.0,0.00389228,False,False
23,games5425898691,1,48.0,0.0006968012,False,False
24,games5425898691,1,49.0,0.0020321927,False,False
25,ellcryse29,0,49.0,0.00019451727,False,False
26,games5425898691,1,49.0,0.0021860267,False,False
27,games5425898691,1,55.0,0.0037254533,False,False
28,ellcryse29,0,57.0,0.0018827771,False,False
29,games5425898691,1,59.0,0.0012912608,False,False
30,games5425898691,1,61.0,0.06265801,False,False
31,ellcryse29,0,62.0,0.00090071745,False,False
32,ellcryse29,0,64.0,0.0035230734,False,False
33,ellcryse29,0,68.0,0.016620869,False,False
34,ellcryse29,0,68.0,0.00097247487,False,False
35,ellcryse29,0,68.0,0.0012441439,False,False
36,games5425898691,1,69.0,0.004054627,False,False
37,enpitsu,1,71.0,0.0185167,False,False
38,enpitsu,1,73.0,0.016715406,False,False
39,ellcryse29,0,76.0,0.010306743,False,False
40,ellcryse29,0,77.0,0.0014029973,False,False
41,games5425898691,1,79.0,0.005088158,False,False
42,games5425898691,1,81.0,0.022887804,False,False
43,STR_Valevlk,0,82.0,0.0009093865,False,False
44,games5425898691,1,85.0,0.0062134024,False,False
45,STR_Valevlk,0,87.0,0.006291229,False,False
46,enpitsu,1,87.0,0.00017538734,False,False
47,enpitsu,1,92.0,0.00028965448,False,False
48,ellcryse29,0,94.0,0.0020688106,False,False
49,games5425898691,1,98.0,1.940537e-05,False,False
50,ellcryse29,0,100.0,0.0010784073,False,False
51,games5425898691,1,103.0,0.0006076191,False,False
52,ellcryse29,0,106.0,0.0004398997,False,False
53,enpitsu,1,106.0,0.00761661,True,False
54,STR_Valevlk,0,107.0,7.445953e-05,False,False
55,games5425898691,1,110.0,0.0073236143,False,False
56,ellcryse29,0,113.0,0.00082028843,False,False
57,ellcryse29,0,114.0,0.003535851,False,False
58,ellcryse29,0,115.0,0.042258818,False,False
59,ellcryse29,0,115.0,0.017302625,False,False
60,ellcryse29,0,116.0,0.022392385,False,False
61,enpitsu,1,121.0,0.0001827304,False,False
62,enpitsu,1,123.0,0.0003756715,False,False
63,ellcryse29,0,124.0,6.9420414e-05,False,False
64,STR_Valevlk,0,126.0,0.0026041104,False,False
65,STR_Valevlk,0,130.0,0.002209853,False,False
66,games5425898691,1,130.0,5.2191812e-05,False,False
67,ellcryse29,0,132.0,0.00010212617,False,False
68,enpitsu,1,135.0,7.030045e-05,False,False
69,enpitsu,1,137.0,0.027313748,False,False
70,ellcryse29,0,138.0,0.0010988436,False,False
