,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,LOWELOABUSER,0,0.0,0.003348483,False,False,163
1,enpitsu,1,4.0,0.0001535782,False,False,280
2,LOWELOABUSER,0,5.0,0.009341295,False,False,325
3,games5425898691,1,7.0,0.0014814431,False,False,373
4,games5425898691,1,11.0,0.012400696,False,False,473
5,enpitsu,1,14.0,0.46547654,True,False,549
6,LOWELOABUSER,0,14.0,0.0020502878,False,False,555
7,enpitsu,1,14.0,0.43462697,False,False,557
8,enpitsu,1,19.0,5.4865723e-05,False,False,691
9,games5425898691,1,20.0,0.00034582292,False,False,716
10,games5425898691,1,22.0,0.026273178,False,False,783
11,games5425898691,1,26.0,0.0047655758,False,False,878
12,enpitsu,1,28.0,0.015203507,False,False,935
13,games5425898691,1,30.0,0.0075569656,False,False,1008
14,LOWELOABUSER,0,33.0,0.018262863,False,False,1080
15,enpitsu,1,35.0,0.002652995,False,False,1139
16,LOWELOABUSER,0,38.0,0.0012181312,False,False,1209
17,enpitsu,1,39.0,0.006349557,False,False,1258
18,banal AnAle,0,39.0,0.013005854,False,False,1261
19,games5425898691,1,41.0,0.0014908967,False,False,1303
20,games5425898691,1,45.0,0.010595583,False,False,1408
21,LOWELOABUSER,0,47.0,0.00097147294,False,False,1461
22,enpitsu,1,49.0,0.06032556,False,False,1511
23,LOWELOABUSER,0,50.0,0.00020350225,False,False,1563
24,enpitsu,1,55.0,0.0034377575,False,False,1700
25,LOWELOABUSER,0,57.0,0.00047753833,False,False,1738
26,LOWELOABUSER,0,59.0,0.0048928573,False,False,1792
27,games5425898691,1,59.0,0.019049482,False,False,1794
28,enpitsu,1,62.0,0.029661177,False,False,1875
29,LOWELOABUSER,0,66.0,0.00015798546,False,False,1998
30,games5425898691,1,67.0,0.013475183,False,False,2029
31,banal AnAle,0,69.0,0.00013050994,False,False,2070
32,banal AnAle,0,70.0,4.4166572e-05,False,False,2088
33,LOWELOABUSER,0,70.0,0.00015387079,False,False,2094
34,games5425898691,1,70.0,0.0026083977,False,False,2112
35,games5425898691,1,72.0,0.0022351183,False,False,2144
36,banal AnAle,0,72.0,0.0009403815,False,False,2157
37,LOWELOABUSER,0,76.0,0.108659565,False,False,2263
38,LOWELOABUSER,0,77.0,0.39093283,True,True,2303
39,enpitsu,1,78.0,0.015662488,False,False,2569
40,LOWELOABUSER,0,79.0,0.0063678413,False,False,2594
41,LOWELOABUSER,0,81.0,0.0032462876,False,False,2654
42,LOWELOABUSER,0,83.0,0.008083963,False,False,2704
43,LOWELOABUSER,0,84.0,0.029839136,True,False,2734
44,games5425898691,1,84.0,0.021935165,False,False,2739
45,games5425898691,1,88.0,0.0118249655,False,False,2855
46,banal AnAle,0,90.0,0.0015207386,False,False,2891
47,enpitsu,1,92.0,0.00036755274,False,False,2956
48,banal AnAle,0,92.0,0.11104736,False,False,2959
49,enpitsu,1,97.0,0.00023170344,False,False,3082
50,LOWELOABUSER,0,99.0,0.019295191,False,False,3145
51,enpitsu,1,104.0,0.38988128,False,False,3292
52,banal AnAle,0,106.0,1.464223e-05,False,False,3345
53,banal AnAle,0,107.0,1.3202991e-05,False,False,3363
54,enpitsu,1,108.0,0.009096054,False,False,3408
55,LOWELOABUSER,0,111.0,0.00011844401,False,False,3483
56,LOWELOABUSER,0,114.0,0.08159627,False,False,3568
57,LOWELOABUSER,0,117.0,0.48546782,True,True,3631
58,LOWELOABUSER,0,118.0,0.0039773555,False,False,3926
59,games5425898691,1,118.0,0.009100938,False,False,3928
60,LOWELOABUSER,0,118.0,0.0014150194,False,False,3930
61,enpitsu,1,122.0,0.011443293,False,False,4020
62,enpitsu,1,122.0,0.0005507124,False,False,4031
63,enpitsu,1,125.0,0.007873093,False,False,4125
64,LOWELOABUSER,0,130.0,0.0052059963,False,False,4239
65,enpitsu,1,135.0,0.0020827537,False,False,4375
66,banal AnAle,0,135.0,0.19079219,False,False,4376
67,banal AnAle,0,137.0,0.588692,True,False,4436
68,banal AnAle,0,138.0,0.22890879,True,False,4461
69,banal AnAle,0,138.0,0.3071865,True,True,4473
70,banal AnAle,0,138.0,0.0009650472,False,False,4733
71,enpitsu,1,139.0,0.0006230889,False,False,4738
72,banal AnAle,0,139.0,0.0008230629,False,False,4739
73,LOWELOABUSER,0,142.0,0.00750799,False,False,4827
74,LOWELOABUSER,0,142.0,0.0017013882,False,False,4844
75,LOWELOABUSER,0,143.0,0.004642648,False,False,4863
76,LOWELOABUSER,0,144.0,0.08758648,False,False,4879
77,games5425898691,1,144.0,0.02688209,False,False,4882
78,LOWELOABUSER,0,144.0,0.0014447689,False,False,4883
79,LOWELOABUSER,0,148.0,0.0004466893,False,False,4994
80,enpitsu,1,149.0,0.025951542,False,False,5034
81,banal AnAle,0,152.0,0.0007498876,False,False,5111
82,LOWELOABUSER,0,156.0,0.00032703386,False,False,5220
83,banal AnAle,0,158.0,0.00048047124,False,False,5262
84,banal AnAle,0,162.0,0.00022407022,False,False,5378
85,banal AnAle,0,163.0,4.7077923e-05,False,False,5402
86,banal AnAle,0,164.0,0.000107765765,False,False,5431
87,banal AnAle,0,165.0,0.00036606204,False,False,5450
88,banal AnAle,0,165.0,0.00082516746,False,False,5462
89,enpitsu,1,165.0,0.013540987,False,False,5464
90,games5425898691,1,171.0,0.0137740895,False,True,5638
91,LOWELOABUSER,0,171.0,0.0019687384,False,False,5639
92,banal AnAle,0,173.0,0.0023491615,False,False,5939
93,enpitsu,1,173.0,0.0027357126,False,False,5940
94,LOWELOABUSER,0,176.0,0.013343994,False,False,6026
95,enpitsu,1,182.0,0.0001592743,False,False,6186
96,enpitsu,1,182.0,0.0003398834,False,False,6201
97,LOWELOABUSER,0,183.0,0.0027248415,False,False,6216
98,LOWELOABUSER,0,185.0,0.00042462646,False,False,6271
99,LOWELOABUSER,0,185.0,0.0003184094,False,False,6275
100,games5425898691,1,185.0,0.0008704396,False,False,6281
101,banal AnAle,0,187.0,0.23721196,True,True,6332
102,LOWELOABUSER,0,188.0,0.0057828994,True,False,6605
103,games5425898691,1,188.0,0.0018430093,False,False,6608
104,games5425898691,1,192.0,0.010658955,False,False,6711
105,enpitsu,1,194.0,0.06087203,False,False,6758
106,banal AnAle,0,194.0,0.0009474412,False,False,6760
107,banal AnAle,0,199.0,0.030415816,False,False,6902
108,games5425898691,1,201.0,0.000181183,False,False,6969
109,banal AnAle,0,203.0,0.02669236,False,False,7010
110,games5425898691,1,203.0,0.012669,False,False,7011
111,enpitsu,1,208.0,0.0037025937,False,False,7164
112,banal AnAle,0,211.0,0.0006446894,False,False,7229
113,games5425898691,1,214.0,0.023407402,False,False,7313
114,banal AnAle,0,216.0,0.00018043717,False,False,7368
115,enpitsu,1,217.0,0.15880568,True,True,7401
116,banal AnAle,0,219.0,0.00069821643,False,False,7692
117,enpitsu,1,219.0,0.012620545,False,False,7693
118,banal AnAle,0,219.0,0.002272053,False,False,7694
119,enpitsu,1,219.0,0.010536571,False,False,7695
120,LOWELOABUSER,0,224.0,0.001130626,False,False,7851
121,enpitsu,1,224.0,0.4315824,False,False,7856
122,games5425898691,1,228.0,3.880146e-05,False,False,7943
123,games5425898691,1,230.0,0.013813645,True,False,8008
124,LOWELOABUSER,0,232.0,0.0003590531,False,False,8049
125,LOWELOABUSER,0,235.0,0.0011147344,False,False,8136
126,enpitsu,1,235.0,0.3431829,False,False,8138
127,games5425898691,1,239.0,0.0042128405,False,False,8243
128,LOWELOABUSER,0,242.0,0.00042022316,False,False,8343
129,LOWELOABUSER,0,245.0,0.00013734678,False,False,8410
130,enpitsu,1,246.0,0.017579995,False,False,8456
131,LOWELOABUSER,0,247.0,0.0048302603,False,False,8458
132,games5425898691,1,251.0,0.007934304,False,False,8573
