,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,1,8.0,0.2562698,False
1,Enzo,0,86.0,0.6116374,True
2,Enzo,0,94.0,0.36793748,False
3,enpitsu,1,103.0,0.07515771,False
4,enpitsu,1,104.0,0.1839355,False
5,enpitsu,1,131.0,0.31205127,False
6,What a save!,0,159.0,0.14705078,True
7,enpitsu,1,181.0,0.18550552,False
8,enpitsu,1,183.0,0.91076547,False
9,games5425898691,1,183.0,0.9549803,True
10,Enzo,0,200.0,0.955218,True
11,What a save!,0,200.0,0.7714993,False
12,enpitsu,1,224.0,0.031245157,False
13,Enzo,0,246.0,0.873251,True
14,Enzo,0,284.0,0.75454116,True
15,What a save!,0,290.0,0.30690593,False
