,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,naji57,1,0,0.0025215861,False,False,165
1,naji57,1,4,0.00079956226,False,False,284
2,ZEEDOX59,1,7,0.07434063,False,False,359
3,enpitsu,0,10,0.01688469,False,False,447
4,ZEEDOX59,1,15,0.00019435691,False,False,587
5,games5425898691,0,16,0.53697884,True,True,621
6,ZEEDOX59,1,16,0.00019402437,False,False,625
7,enpitsu,0,17,0.008612477,False,False,885
8,naji57,1,19,8.719381e-05,False,False,956
9,ZEEDOX59,1,21,7.5135954e-06,False,False,1008
10,ZEEDOX59,1,24,0.023431573,False,False,1086
11,games5425898691,0,24,0.03831165,False,False,1087
12,enpitsu,0,31,0.0030916212,False,False,1287
13,naji57,1,31,0.00027433797,False,False,1289
14,ZEEDOX59,1,34,0.008216421,False,False,1355
15,games5425898691,0,36,0.00023513717,False,False,1427
16,games5425898691,0,40,0.037284013,False,False,1519
17,ZEEDOX59,1,41,0.0009248732,False,False,1564
18,games5425898691,0,43,0.0065350537,False,False,1601
19,naji57,1,44,0.00015725652,False,False,1645
20,naji57,1,45,6.416583e-05,False,False,1659
21,naji57,1,45,0.00020904187,False,False,1671
22,naji57,1,47,0.00047439622,False,False,1711
23,naji57,1,48,0.00310646,False,False,1750
24,enpitsu,0,49,0.019699343,True,True,1782
25,naji57,1,52,0.0029169312,False,False,2104
26,games5425898691,0,52,0.0041247304,False,False,2105
27,naji57,1,52,0.0055608097,False,False,2106
28,games5425898691,0,52,0.0005180187,False,False,2107
29,enpitsu,0,55,0.004346047,False,False,2198
30,enpitsu,0,57,0.00046444405,False,False,2241
31,enpitsu,0,59,0.03256637,False,False,2301
32,ZEEDOX59,1,59,0.0009341189,False,False,2303
33,enpitsu,0,59,0.020006409,False,False,2304
34,games5425898691,0,61,0.0637447,True,True,2350
35,games5425898691,0,62,0.0011153988,False,False,2646
36,games5425898691,0,62,0.0029388263,False,False,2656
37,games5425898691,0,63,0.00566037,False,False,2667
38,games5425898691,0,64,0.0019954294,False,False,2688
39,games5425898691,0,64,0.003073239,False,False,2697
40,games5425898691,0,64,0.0031946613,False,False,2700
41,games5425898691,0,64,0.006016731,False,False,2712
42,ZEEDOX59,1,65,0.0014147998,False,False,2726
43,games5425898691,0,65,0.030575572,False,False,2728
44,ZEEDOX59,1,70,0.0006961656,False,False,2854
45,games5425898691,0,71,0.010874186,False,False,2906
46,ZEEDOX59,1,74,0.008413403,False,False,2978
47,enpitsu,0,76,0.00015944298,False,False,3036
48,enpitsu,0,79,0.0034056974,False,False,3101
49,enpitsu,0,79,0.19006005,True,False,3118
50,enpitsu,0,80,0.09011995,True,False,3133
51,enpitsu,0,80,0.31882435,True,False,3137
52,enpitsu,0,80,0.3336613,True,False,3147
53,ZEEDOX59,1,80,0.00026998293,False,False,3148
54,games5425898691,0,86,0.35928574,False,False,3293
55,games5425898691,0,89,0.049249947,False,False,3385
56,games5425898691,0,92,0.0025189477,False,False,3460
57,naji57,1,95,0.00018040586,False,False,3546
58,naji57,1,95,0.00019593719,False,False,3560
59,ZEEDOX59,1,96,0.0007361177,False,False,3571
60,games5425898691,0,100,0.0026016282,False,False,3674
61,enpitsu,0,102,0.0036578057,False,False,3733
62,enpitsu,0,104,0.04875019,False,True,3802
