,shot_taker_name,is_orange,time,xg,shot,goal
0,RIP.VERTUGO,0,0,0.0039395457,True,False
1,enpitsu,1,0,0.005132463,False,False
2,RIP.VERTUGO,0,0,0.0024975308,False,False
3,games5425898691,1,4,0.00060431735,False,False
4,100 MrDaves,0,6,0.059256673,False,False
5,RIP.VERTUGO,0,11,0.026068341,False,False
6,games5425898691,1,15,0.004630514,False,False
7,games5425898691,1,20,0.8625261,True,True
8,RIP.VERTUGO,0,22,0.004618882,False,False
9,games5425898691,1,22,0.01098443,False,False
10,100 MrDaves,0,25,0.0022278607,False,False
11,100 MrDaves,0,28,0.27066404,True,False
12,RIP.VERTUGO,0,32,0.5247021,True,False
13,games5425898691,1,33,0.0006373652,False,False
14,100 MrDaves,0,37,0.048324093,False,False
15,100 MrDaves,0,44,0.008281292,False,False
16,games5425898691,1,48,0.00033555416,False,False
17,100 MrDaves,0,53,0.0007959737,False,False
18,100 MrDaves,0,55,0.016082708,False,False
19,games5425898691,1,57,0.00036015132,False,False
20,enpitsu,1,59,0.03557087,False,False
21,RIP.VERTUGO,0,61,0.009623721,False,False
22,enpitsu,1,65,0.0006502765,False,False
23,RIP.VERTUGO,0,65,0.05444869,False,False
24,games5425898691,1,67,0.016037505,False,False
25,games5425898691,1,72,0.100973904,False,False
26,100 MrDaves,0,72,0.0020690253,False,False
27,enpitsu,1,75,0.03447265,False,False
28,RIP.VERTUGO,0,76,0.080261216,False,False
29,100 MrDaves,0,83,0.04807054,True,False
30,enpitsu,1,84,0.00039327855,False,False
31,100 MrDaves,0,86,0.002994639,False,False
32,100 MrDaves,0,86,0.00047887553,False,False
33,100 MrDaves,0,87,0.0013759577,False,False
34,100 MrDaves,0,87,0.0025931492,False,False
35,100 MrDaves,0,88,0.0034687007,False,False
36,100 MrDaves,0,88,0.0058515193,False,False
37,100 MrDaves,0,89,0.0025339082,False,False
38,games5425898691,1,89,0.116059475,False,False
39,RIP.VERTUGO,0,90,0.00054786634,False,False
40,100 MrDaves,0,93,0.014934502,False,False
41,games5425898691,1,96,0.0049272217,False,False
42,100 MrDaves,0,100,0.00033581242,False,False
43,100 MrDaves,0,102,0.00041386986,False,False
44,games5425898691,1,103,0.018380608,False,False
45,100 MrDaves,0,108,0.0018102825,False,False
46,100 MrDaves,0,109,0.0080769155,False,False
47,100 MrDaves,0,109,0.04101086,False,False
48,100 MrDaves,0,110,0.061480198,False,False
49,100 MrDaves,0,110,0.012154507,False,False
50,100 MrDaves,0,111,0.23425534,False,False
51,RIP.VERTUGO,0,114,0.0012995017,False,False
52,RIP.VERTUGO,0,115,0.006425134,False,False
53,enpitsu,1,122,0.33929297,False,False
54,games5425898691,1,125,0.047846615,False,False
55,enpitsu,1,127,0.0778745,False,False
56,100 MrDaves,0,129,0.0004588897,False,False
57,games5425898691,1,131,0.004865762,False,False
58,100 MrDaves,0,133,0.0008314874,False,False
59,100 MrDaves,0,136,0.036433395,False,False
60,games5425898691,1,137,0.0016614808,False,False
61,RIP.VERTUGO,0,140,0.009988426,False,False
62,games5425898691,1,144,0.0005723706,False,False
63,RIP.VERTUGO,0,146,0.15977803,False,False
64,100 MrDaves,0,151,0.0017798684,False,False
65,games5425898691,1,153,0.00038255897,False,False
66,RIP.VERTUGO,0,156,0.0013117471,False,False
67,RIP.VERTUGO,0,158,0.007248301,False,False
68,games5425898691,1,161,0.00037909063,False,False
69,games5425898691,1,162,0.0014542969,False,False
70,games5425898691,1,163,0.0020989778,False,False
71,100 MrDaves,0,164,0.04051567,False,False
72,games5425898691,1,164,0.0026561348,False,False
73,enpitsu,1,167,0.016360436,False,False
74,games5425898691,1,170,0.00017174178,False,False
75,RIP.VERTUGO,0,173,0.010939737,False,False
76,enpitsu,1,176,0.041713282,False,False
77,RIP.VERTUGO,0,178,0.00021535109,False,False
78,RIP.VERTUGO,0,179,0.0010861162,False,False
79,RIP.VERTUGO,0,180,0.006556778,False,False
80,enpitsu,1,180,0.048931196,False,False
81,100 MrDaves,0,189,0.008379376,False,False
82,games5425898691,1,191,0.010552386,False,False
83,100 MrDaves,0,191,0.033301707,False,False
84,enpitsu,1,193,0.00012358428,False,False
85,100 MrDaves,0,196,0.039994735,False,False
86,games5425898691,1,197,0.00044994723,False,False
87,enpitsu,1,200,0.41623542,False,False
88,enpitsu,1,202,0.0063660103,False,False
89,enpitsu,1,203,0.06766507,False,False
90,RIP.VERTUGO,0,203,0.0005300175,False,False
91,games5425898691,1,205,0.0003675114,False,False
92,100 MrDaves,0,208,0.091252126,False,False
93,100 MrDaves,0,210,0.42326346,True,True
94,100 MrDaves,0,211,0.0006198812,False,False
95,100 MrDaves,0,211,0.002130425,False,False
96,100 MrDaves,0,212,0.002026845,False,False
97,RIP.VERTUGO,0,213,0.016797952,False,False
98,RIP.VERTUGO,0,214,0.5422597,True,False
99,games5425898691,1,215,0.00039664042,False,False
100,RIP.VERTUGO,0,215,0.70867974,True,False
101,games5425898691,1,215,0.002870573,False,False
102,100 MrDaves,0,217,0.53191835,False,False
