,shot_taker_name,is_orange,time,xg,goal
0,pierreasm03,0,49.0,0.09722265,False
1,enpitsu,1,74.0,0.31181946,True
2,kijuro.,0,119.0,0.6788739,False
3,kijuro.,0,133.0,0.025136724,False
4,pierreasm03,0,153.0,0.30979988,False
5,enpitsu,1,162.0,0.07682446,False
6,kijuro.,0,188.0,0.10339399,False
7,kijuro.,0,189.0,0.39622295,False
8,kijuro.,0,189.0,0.73570025,False
9,kijuro.,0,189.0,0.81307006,False
10,kijuro.,0,190.0,0.98747754,True
11,pierreasm03,0,231.0,0.007799964,False
12,kijuro.,0,240.0,0.16945073,False
13,pierreasm03,0,244.0,0.051316403,False
14,games5425898691,1,251.0,0.061391994,True
15,kijuro.,0,408.0,0.04943554,True
