,shot_taker_name,is_orange,time,xg,shot,goal
0,skroos,1,0,0.001840391,False,False
1,games5425898691,0,0,0.012089891,False,False
2,enpitsu,0,8,0.0012171072,False,False
3,enpitsu,0,12,0.0031717902,False,False
4,enpitsu,0,13,0.16847236,False,False
5,Aerial Park,1,13,0.0013781729,False,False
6,games5425898691,0,16,0.0025279291,False,False
7,games5425898691,0,19,0.0031985403,False,False
8,games5425898691,0,22,0.3584119,False,False
9,enpitsu,0,26,0.00052913517,False,False
10,Aerial Park,1,29,0.00035261267,False,False
11,Aerial Park,1,29,0.0001456884,False,False
12,Aerial Park,1,30,0.00022457005,False,False
13,games5425898691,0,30,0.003436882,False,False
14,Aerial Park,1,33,0.302718,False,False
15,games5425898691,0,35,0.0001537111,False,False
16,enpitsu,0,37,0.00063676113,False,False
17,skroos,1,39,0.039959718,False,False
18,skroos,1,41,0.45885217,True,True
19,Aerial Park,1,42,0.0072223116,False,False
20,enpitsu,0,42,0.0014028543,False,False
21,enpitsu,0,42,0.0057116617,False,False
22,enpitsu,0,44,0.013590546,False,False
23,Aerial Park,1,44,0.00012978296,False,False
24,enpitsu,0,45,0.006128242,False,False
25,games5425898691,0,45,0.12843002,False,False
26,enpitsu,0,45,0.004156905,True,False
27,Aerial Park,1,45,0.00049757614,False,False
28,skroos,1,47,0.0039573577,False,False
29,skroos,1,50,0.023760851,False,False
30,games5425898691,0,53,0.054214206,False,False
31,skroos,1,58,0.00054851454,False,False
32,games5425898691,0,60,0.019002311,False,False
33,Aerial Park,1,60,0.0005583498,False,False
34,skroos,1,63,0.064496726,False,False
35,skroos,1,67,0.26430807,True,True
36,skroos,1,68,0.0010096023,False,False
37,enpitsu,0,73,0.002316013,False,False
38,skroos,1,76,0.00010065141,False,False
39,enpitsu,0,78,0.0028051,False,False
40,Aerial Park,1,80,0.002377987,False,False
41,skroos,1,80,0.0004621595,False,False
42,Aerial Park,1,81,0.013142832,False,False
43,enpitsu,0,81,0.009953462,False,False
44,Aerial Park,1,81,0.0019342299,False,False
45,games5425898691,0,85,0.00020339264,False,False
46,Aerial Park,1,88,0.014757101,False,False
47,enpitsu,0,90,0.01369385,False,False
48,Aerial Park,1,92,0.007465758,False,False
49,games5425898691,0,95,0.3151495,True,True
50,skroos,1,97,0.0018414267,False,False
51,games5425898691,0,97,0.0042295246,False,False
52,Aerial Park,1,104,0.0007896315,False,False
53,Aerial Park,1,105,0.003602497,False,False
54,enpitsu,0,107,0.0006028937,False,False
55,enpitsu,0,110,0.0003084801,False,False
56,Aerial Park,1,111,0.000104319224,False,False
57,enpitsu,0,112,0.0016476796,False,False
58,enpitsu,0,112,0.0056759114,False,False
59,Aerial Park,1,112,8.7666194e-05,False,False
60,Aerial Park,1,113,4.6447283e-05,False,False
61,Aerial Park,1,120,0.0010976096,False,False
62,games5425898691,0,124,0.64112854,True,True
63,enpitsu,0,124,0.0005835212,False,False
64,Aerial Park,1,127,0.0004776981,False,False
65,Aerial Park,1,129,0.0021212152,False,False
66,Aerial Park,1,130,0.13946241,True,False
67,games5425898691,0,132,0.0021509135,False,False
68,skroos,1,136,0.014584566,False,False
69,games5425898691,0,139,0.13224398,False,False
