,shot_taker_name,is_orange,time,xg,shot,goal
0,Hail Satan,1,0,0.0024420226,False,False
1,games5425898691,0,0,0.007902868,False,False
2,Hail Satan,1,0,0.018221023,False,False
3,Hail Satan,1,2,0.0122357765,False,False
4,games5425898691,0,6,0.003601746,False,False
5,Hail Satan,1,10,0.002038823,False,False
6,enpitsu,0,12,0.40570545,False,False
7,Kindio99,1,14,0.02303616,False,False
8,Kindio99,1,17,0.24608539,False,False
9,games5425898691,0,19,0.023304537,False,False
10,games5425898691,0,23,0.5847934,True,True
11,enpitsu,0,24,0.023998551,False,False
12,games5425898691,0,28,0.003412148,False,False
13,Hail Satan,1,30,0.03179334,False,False
14,enpitsu,0,34,0.0017468018,False,False
15,enpitsu,0,38,0.25883672,False,False
16,Hail Satan,1,40,0.0013283961,False,False
17,Hail Satan,1,43,0.0040012756,False,False
18,Hail Satan,1,43,0.004132704,False,False
19,Hail Satan,1,44,0.023958003,False,False
20,Hail Satan,1,45,0.009855583,False,False
21,Kindio99,1,46,0.15148109,False,False
22,Kindio99,1,48,0.031476956,False,False
23,Hail Satan,1,50,0.446535,False,False
24,Kindio99,1,52,0.12811948,False,False
25,Hail Satan,1,55,0.001291,False,False
26,Hail Satan,1,56,0.0012727967,False,False
27,Hail Satan,1,57,0.0016246593,False,False
28,enpitsu,0,57,0.0005302977,False,False
29,Kindio99,1,59,0.30440667,False,False
30,Hail Satan,1,60,0.10788867,True,True
31,Hail Satan,1,62,0.0017298844,False,False
32,games5425898691,0,62,0.008824425,False,False
33,Hail Satan,1,62,0.008206859,False,False
34,games5425898691,0,64,0.003983579,False,False
35,Kindio99,1,66,0.013634763,False,False
36,enpitsu,0,69,0.00017114624,False,False
37,Kindio99,1,72,0.004317167,False,False
38,enpitsu,0,72,0.0029146494,False,False
39,Hail Satan,1,75,0.003167421,False,False
40,enpitsu,0,78,0.0007102692,False,False
41,Hail Satan,1,80,0.015471082,False,False
42,games5425898691,0,83,0.08488465,False,False
43,Kindio99,1,85,4.3147404e-05,False,False
44,Kindio99,1,86,0.00012993142,False,False
45,Kindio99,1,86,0.0034426406,False,False
46,Kindio99,1,88,0.0016249609,False,False
47,enpitsu,0,90,0.074947625,False,False
48,Hail Satan,1,94,0.0017321307,False,False
49,Hail Satan,1,96,0.01515816,False,False
50,enpitsu,0,97,0.015838677,False,False
51,games5425898691,0,102,0.44790685,False,False
52,Hail Satan,1,104,0.0010234397,False,False
53,Hail Satan,1,106,0.0067387726,False,False
54,Hail Satan,1,109,0.0074195885,False,False
55,Hail Satan,1,111,0.0325611,False,False
56,Hail Satan,1,111,0.19121946,True,False
57,Hail Satan,1,113,0.8664385,True,True
58,Hail Satan,1,114,0.0058467477,False,False
59,Kindio99,1,117,0.0578192,False,False
60,enpitsu,0,119,0.05851179,False,False
61,enpitsu,0,123,0.21798821,False,False
62,games5425898691,0,125,0.037069537,False,False
63,Kindio99,1,127,0.00012410081,False,False
64,games5425898691,0,129,0.0018196191,False,False
65,games5425898691,0,130,0.0013314398,False,False
66,games5425898691,0,132,0.060468044,False,False
67,Hail Satan,1,133,0.00053487765,False,False
68,Kindio99,1,136,0.0020480382,False,False
69,Hail Satan,1,140,0.64431226,True,False
70,enpitsu,0,140,0.0005227791,False,False
71,Hail Satan,1,140,0.30018106,True,False
72,enpitsu,0,140,0.0013358855,False,False
73,Kindio99,1,142,0.32961506,True,False
74,enpitsu,0,142,0.0011809315,False,False
75,Hail Satan,1,146,0.16990098,False,False
76,Hail Satan,1,149,0.28234217,True,True
77,enpitsu,0,151,0.0025212371,False,False
78,enpitsu,0,154,0.014710626,False,False
79,enpitsu,0,155,0.103901714,False,False
80,enpitsu,0,155,0.073080875,True,False
81,games5425898691,0,155,0.36118746,False,False
82,games5425898691,0,156,0.03210618,False,False
83,games5425898691,0,158,0.024716666,False,False
84,Hail Satan,1,159,0.0020787695,False,False
85,Hail Satan,1,161,0.0004473455,False,False
86,games5425898691,0,161,0.073363066,False,False
87,Hail Satan,1,162,0.013442583,False,False
88,Hail Satan,1,165,0.00043651747,False,False
89,Hail Satan,1,166,0.0005434601,False,False
90,Hail Satan,1,167,0.008624239,False,False
91,Hail Satan,1,167,0.02392389,False,False
92,Hail Satan,1,167,0.05399512,False,False
93,Hail Satan,1,168,0.06992858,False,False
94,Hail Satan,1,168,0.013200852,False,False
95,Hail Satan,1,169,0.07894081,True,False
96,Hail Satan,1,169,0.26915365,True,False
97,Kindio99,1,171,0.7300325,True,False
98,Hail Satan,1,171,0.59310836,True,False
99,Kindio99,1,171,0.56035393,True,True
100,Hail Satan,1,171,0.8502719,True,False
101,Hail Satan,1,171,0.0017057364,False,False
102,games5425898691,0,171,0.0061533214,False,False
103,Hail Satan,1,171,0.002366249,False,False
104,Hail Satan,1,174,0.0011160631,False,False
105,games5425898691,0,176,0.0051534344,False,False
106,Kindio99,1,179,0.015295656,False,False
107,games5425898691,0,181,0.0007206017,False,False
108,Kindio99,1,183,0.31861922,False,False
109,games5425898691,0,188,0.03219084,False,False
110,Kindio99,1,190,0.00020688078,False,False
111,Kindio99,1,191,0.0011949035,False,False
112,enpitsu,0,194,0.08463261,False,False
113,Hail Satan,1,197,0.00029774036,False,False
114,Hail Satan,1,198,0.005605359,False,False
115,enpitsu,0,203,0.001486093,False,False
116,Kindio99,1,203,0.009219565,False,False
117,Hail Satan,1,207,0.4321732,True,True
118,Kindio99,1,208,0.002345289,True,False
119,enpitsu,0,208,0.033496063,False,False
120,Kindio99,1,208,0.00076487387,False,False
121,enpitsu,0,208,0.0009562744,False,False
122,games5425898691,0,210,0.11868732,False,False
123,Hail Satan,1,212,0.0007903151,False,False
124,games5425898691,0,214,0.0005808865,False,False
125,Hail Satan,1,215,0.06407563,False,False
126,enpitsu,0,215,0.015962433,False,False
127,Hail Satan,1,215,0.040668976,False,False
128,Hail Satan,1,219,0.050545685,False,False
129,Kindio99,1,220,0.7489832,True,True
130,Hail Satan,1,222,0.0026567122,False,False
131,games5425898691,0,222,0.002451163,False,False
132,games5425898691,0,225,0.0043486496,False,False
133,Hail Satan,1,229,0.0013896378,False,False
134,Hail Satan,1,230,0.0025027953,False,False
135,Kindio99,1,232,0.10744832,False,False
136,Kindio99,1,234,0.053571098,True,False
137,enpitsu,0,234,0.0052012466,False,False
138,Hail Satan,1,237,0.010041873,False,False
139,Hail Satan,1,240,0.9253433,False,True
140,Kindio99,1,241,0.6328126,True,False
141,Hail Satan,1,242,0.0073390426,False,False
142,games5425898691,0,242,0.014968563,False,False
143,enpitsu,0,244,0.1598721,True,True
144,enpitsu,0,246,0.0006760777,False,False
145,games5425898691,0,250,0.0010456766,False,False
146,enpitsu,0,252,0.0053565823,False,False
147,enpitsu,0,253,0.059785794,True,False
148,Hail Satan,1,254,0.00073308405,False,False
149,Hail Satan,1,260,0.007245612,False,False
150,Hail Satan,1,261,0.019890942,False,False
151,Hail Satan,1,262,0.047011465,False,False
152,Kindio99,1,262,0.017146124,False,False
153,enpitsu,0,267,0.10547008,True,False
154,Kindio99,1,269,0.00063301803,False,False
155,Hail Satan,1,271,0.00024338179,False,False
156,Hail Satan,1,271,0.00043989136,False,False
157,Kindio99,1,272,0.0044879094,False,False
158,enpitsu,0,272,0.4095513,True,False
159,Kindio99,1,272,0.0024684328,False,False
160,enpitsu,0,279,0.050916087,False,False
161,Hail Satan,1,282,0.000691853,False,False
162,Hail Satan,1,284,0.006224386,False,False
163,Kindio99,1,287,0.55558616,False,False
164,enpitsu,0,293,0.0093511585,False,False
165,Kindio99,1,295,0.01750253,False,False
166,enpitsu,0,297,0.00040776085,False,False
167,Kindio99,1,298,0.003017456,False,False
168,Kindio99,1,299,0.0010536776,False,False
