,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,SONOPROCAMER,1,2,0.004003416,False,False,224
1,games5425898691,0,4,0.0016426452,False,False,281
2,Fury24_,1,5,0.29204026,True,False,316
3,enpitsu,0,7,0.004797687,False,False,379
4,Fury24_,1,10,0.7587629,True,True,450
5,Fury24_,1,11,0.001164757,False,False,730
6,enpitsu,0,11,0.00032466915,False,False,731
7,SONOPROCAMER,1,15,0.008807357,False,False,829
8,enpitsu,0,20,0.00035863763,False,False,978
9,SONOPROCAMER,1,24,0.00064441113,False,False,1087
10,SONOPROCAMER,1,28,0.0002924365,False,False,1200
11,SONOPROCAMER,1,30,0.0009788861,False,False,1255
12,games5425898691,0,30,0.04493376,False,False,1261
13,enpitsu,0,36,0.16769803,False,False,1409
14,games5425898691,0,41,0.013345394,False,False,1546
15,SONOPROCAMER,1,44,0.0003029272,False,False,1640
16,enpitsu,0,47,0.11231601,False,False,1727
17,Fury24_,1,49,0.0032432033,False,False,1771
18,SONOPROCAMER,1,52,0.0011462163,False,False,1861
19,games5425898691,0,56,0.00024204538,False,False,1965
20,enpitsu,0,60,0.22029297,False,False,2071
21,Fury24_,1,64,0.0005703113,False,False,2174
22,games5425898691,0,64,0.53232276,False,False,2180
23,enpitsu,0,68,0.0007175123,False,False,2290
24,SONOPROCAMER,1,69,0.0008558851,False,False,2329
25,games5425898691,0,72,0.111585155,False,False,2414
26,Fury24_,1,77,0.00065414154,False,False,2546
27,Fury24_,1,80,0.0031655834,False,False,2628
28,SONOPROCAMER,1,82,0.03880978,False,False,2681
29,games5425898691,0,83,0.00014585159,False,False,2711
30,games5425898691,0,85,0.00030135614,False,False,2773
31,games5425898691,0,87,0.00068348023,False,False,2826
32,games5425898691,0,88,0.0024631945,False,False,2850
33,games5425898691,0,89,0.0029673509,False,False,2866
34,games5425898691,0,89,0.007039746,False,False,2879
35,games5425898691,0,90,0.02019345,True,False,2899
36,games5425898691,0,90,0.026254704,True,False,2906
37,games5425898691,0,91,0.049863793,True,False,2920
38,games5425898691,0,91,0.073909245,True,False,2925
39,Fury24_,1,91,0.0005402425,False,False,2930
40,enpitsu,0,95,0.0033683265,False,False,3050
41,SONOPROCAMER,1,97,0.0006673002,False,False,3088
42,SONOPROCAMER,1,97,0.00057097303,False,False,3104
43,SONOPROCAMER,1,98,0.0017732235,False,False,3116
44,SONOPROCAMER,1,98,0.0031658409,False,False,3128
45,SONOPROCAMER,1,99,0.002199753,False,False,3139
46,SONOPROCAMER,1,99,0.007354423,False,False,3150
47,SONOPROCAMER,1,100,0.018968407,False,False,3162
48,SONOPROCAMER,1,100,0.41654482,True,False,3182
49,enpitsu,0,101,0.0012439378,False,False,3209
50,enpitsu,0,104,0.013063197,False,False,3278
51,Fury24_,1,106,0.0003430131,False,False,3348
52,Fury24_,1,110,0.00057090254,False,False,3441
53,SONOPROCAMER,1,112,0.003489307,False,False,3503
54,SONOPROCAMER,1,112,0.0010869395,False,False,3516
55,enpitsu,0,113,0.028130772,False,False,3538
56,enpitsu,0,116,0.089485794,False,False,3619
57,games5425898691,0,119,0.8857125,True,True,3701
58,SONOPROCAMER,1,119,0.0025317133,False,False,3958
59,games5425898691,0,119,0.0026891718,False,False,3960
60,SONOPROCAMER,1,119,0.0025243103,False,False,3962
61,enpitsu,0,123,0.0014401225,False,False,4057
62,Fury24_,1,126,0.5789445,True,False,4139
63,games5425898691,0,127,0.0018534025,False,False,4165
64,SONOPROCAMER,1,129,0.0006429116,False,False,4220
65,SONOPROCAMER,1,131,0.010658764,False,False,4278
66,Fury24_,1,133,0.19572225,False,False,4328
67,SONOPROCAMER,1,136,0.00035031617,False,False,4406
68,enpitsu,0,136,0.057722222,False,False,4408
69,enpitsu,0,137,0.005090372,False,False,4446
70,enpitsu,0,138,0.003982204,False,False,4467
71,SONOPROCAMER,1,140,5.2030802e-05,False,False,4528
72,SONOPROCAMER,1,141,0.00037706163,False,False,4548
73,SONOPROCAMER,1,142,0.00029885408,False,False,4571
74,SONOPROCAMER,1,142,0.00047114518,False,False,4583
75,SONOPROCAMER,1,142,0.0012899959,False,False,4594
76,SONOPROCAMER,1,143,0.0024749446,False,False,4605
77,enpitsu,0,143,0.0050757728,False,False,4616
78,enpitsu,0,145,0.18700808,False,False,4668
79,SONOPROCAMER,1,145,0.00010932766,False,False,4669
80,enpitsu,0,145,0.14850767,False,True,4670
81,SONOPROCAMER,1,145,9.9444274e-05,False,False,4671
82,SONOPROCAMER,1,147,0.0015595024,True,False,4968
83,enpitsu,0,147,0.00032264896,False,False,4971
84,SONOPROCAMER,1,147,0.001795898,False,False,4972
85,SONOPROCAMER,1,151,0.0003820289,False,False,5089
86,SONOPROCAMER,1,152,0.108119935,True,False,5123
87,enpitsu,0,156,0.011061175,False,False,5215
88,Fury24_,1,158,9.768019e-05,False,False,5276
89,Fury24_,1,159,0.00064329035,False,False,5302
90,enpitsu,0,159,0.010913661,False,False,5306
