,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,Cactus Jack sent me,1,0,0.00024056165,False,False,170
1,enpitsu,0,0,0.0009739608,False,False,171
2,BIO,1,1,0.0034453378,False,False,204
3,games5425898691,0,4,0.0013077691,False,False,282
4,Cactus Jack sent me,1,7,0.01588637,False,False,373
5,enpitsu,0,11,0.0015323048,False,False,478
6,Cactus Jack sent me,1,11,0.017996555,False,False,480
7,enpitsu,0,14,0.0063804686,False,False,578
8,games5425898691,0,16,0.015169561,False,False,625
9,Cactus Jack sent me,1,21,0.00082669075,False,False,766
10,Cactus Jack sent me,1,23,0.0002607375,False,False,816
11,games5425898691,0,25,0.005295398,False,False,865
12,BIO,1,27,0.032340802,False,False,915
13,enpitsu,0,31,0.00020523064,False,False,1035
14,BIO,1,33,0.008959785,False,False,1097
15,enpitsu,0,38,0.018632252,False,False,1224
16,enpitsu,0,41,0.16653208,False,False,1295
17,enpitsu,0,45,0.00054452225,False,False,1406
18,enpitsu,0,46,0.029654829,True,False,1440
19,BIO,1,46,0.005076936,False,False,1442
20,enpitsu,0,46,0.05138888,False,False,1443
21,enpitsu,0,53,0.0016620085,False,False,1637
22,games5425898691,0,54,0.00044727622,False,False,1659
23,BIO,1,56,0.00015430833,False,False,1707
24,BIO,1,57,0.0020329654,False,False,1752
25,BIO,1,58,0.00023390734,False,False,1773
26,BIO,1,58,0.00014961982,False,False,1775
27,BIO,1,59,0.00020144487,False,False,1803
28,enpitsu,0,60,0.16684175,True,True,1819
29,BIO,1,61,0.002333609,False,False,2103
30,enpitsu,0,61,0.0010619011,False,False,2104
31,games5425898691,0,65,0.0023089447,False,False,2215
32,Cactus Jack sent me,1,66,0.0080754105,False,False,2256
33,Cactus Jack sent me,1,70,0.030697772,False,False,2366
34,enpitsu,0,73,0.002921017,False,False,2446
35,BIO,1,73,0.01821368,False,False,2448
36,Cactus Jack sent me,1,76,0.29384577,True,True,2519
37,games5425898691,0,76,0.0042416877,False,False,2797
38,Cactus Jack sent me,1,76,0.0017883367,False,False,2798
39,enpitsu,0,78,0.008235502,False,False,2836
40,BIO,1,78,0.019034892,False,False,2838
41,BIO,1,80,0.12709634,True,False,2900
42,games5425898691,0,81,6.599643e-05,False,False,2918
43,enpitsu,0,84,0.0015859206,False,False,3017
44,enpitsu,0,87,0.004894183,False,False,3084
45,enpitsu,0,88,0.0018456973,False,False,3107
46,games5425898691,0,88,0.0008550464,False,False,3123
47,enpitsu,0,89,0.0049028294,False,False,3140
48,BIO,1,89,0.0554257,False,False,3149
49,enpitsu,0,89,0.012642122,False,False,3150
50,Cactus Jack sent me,1,93,0.03378778,False,False,3254
51,games5425898691,0,95,0.0013113362,False,False,3302
52,Cactus Jack sent me,1,96,0.09038642,True,False,3335
53,enpitsu,0,97,0.00079650903,False,False,3357
54,enpitsu,0,98,7.505006e-05,False,False,3392
55,enpitsu,0,99,0.0077215694,False,False,3416
56,enpitsu,0,103,0.019478329,False,False,3527
57,BIO,1,105,0.00043192992,False,False,3578
58,games5425898691,0,107,0.010913176,True,False,3652
59,BIO,1,109,0.0014495662,False,False,3700
60,enpitsu,0,111,0.0036164944,False,False,3752
61,enpitsu,0,113,0.10514304,True,False,3806
62,Cactus Jack sent me,1,115,0.0006122123,False,False,3855
63,Cactus Jack sent me,1,118,0.017222298,False,False,3930
64,games5425898691,0,120,0.00013803555,False,False,4005
65,games5425898691,0,122,0.0012822956,False,False,4036
66,games5425898691,0,123,0.012295434,False,False,4069
67,games5425898691,0,124,0.065093644,False,False,4106
68,BIO,1,124,0.0012362095,False,False,4110
69,Cactus Jack sent me,1,128,0.0015530629,False,False,4198
70,enpitsu,0,129,0.14322627,True,False,4240
71,Cactus Jack sent me,1,133,0.0010799335,False,False,4347
72,enpitsu,0,133,0.5383274,False,False,4349
73,Cactus Jack sent me,1,136,0.14630157,False,True,4419
74,Cactus Jack sent me,1,140,0.0011767319,True,False,4790
75,games5425898691,0,140,0.0016511203,False,False,4791
76,Cactus Jack sent me,1,140,0.005217791,False,False,4792
77,enpitsu,0,145,0.025559893,False,False,4918
78,games5425898691,0,147,0.100913614,False,False,4973
79,games5425898691,0,148,0.002796756,False,False,5022
80,Cactus Jack sent me,1,150,0.00017073534,False,False,5061
81,Cactus Jack sent me,1,150,0.00039351912,False,False,5075
82,Cactus Jack sent me,1,151,0.0019821075,False,False,5092
83,games5425898691,0,151,0.059522014,False,False,5093
84,Cactus Jack sent me,1,155,0.00092720345,False,False,5200
85,enpitsu,0,158,0.00090908416,False,False,5300
86,BIO,1,159,0.09200025,False,False,5305
87,enpitsu,0,161,0.0004272739,False,False,5378
88,Cactus Jack sent me,1,164,0.016180722,False,False,5457
89,enpitsu,0,166,0.00083184557,False,False,5508
90,Cactus Jack sent me,1,168,0.0015467472,False,False,5561
91,BIO,1,172,0.020004956,False,False,5671
92,Cactus Jack sent me,1,174,0.14766061,False,False,5717
93,BIO,1,181,0.0047866935,True,False,5907
94,enpitsu,0,181,0.0003967764,False,False,5908
95,Cactus Jack sent me,1,183,0.0070368825,False,False,5971
96,Cactus Jack sent me,1,186,0.058252398,False,False,6067
97,enpitsu,0,188,0.00036729372,False,False,6104
98,enpitsu,0,190,0.0001637238,False,False,6178
99,enpitsu,0,193,0.0016384053,False,False,6250
100,Cactus Jack sent me,1,194,0.0042864494,False,False,6271
101,enpitsu,0,196,0.0004945537,False,False,6333
102,Cactus Jack sent me,1,199,0.0015233511,False,False,6405
103,enpitsu,0,202,0.00063595176,False,False,6483
104,enpitsu,0,203,0.0052246293,False,False,6535
105,Cactus Jack sent me,1,205,0.0001361956,False,False,6582
106,enpitsu,0,206,0.0015725559,False,False,6610
107,games5425898691,0,207,0.06620159,False,False,6645
108,BIO,1,209,0.004387014,False,False,6697
109,games5425898691,0,211,0.0003036327,False,False,6741
110,games5425898691,0,212,6.61831e-05,False,False,6759
111,games5425898691,0,212,0.0003435673,False,False,6787
112,games5425898691,0,213,0.00047639624,False,False,6794
113,games5425898691,0,215,0.0064417575,False,False,6850
114,BIO,1,218,0.0014591363,False,False,6926
115,Cactus Jack sent me,1,220,0.0005428916,False,False,6999
116,games5425898691,0,222,9.828583e-05,False,False,7033
117,games5425898691,0,223,0.00083110953,False,False,7064
118,enpitsu,0,223,0.00027714463,False,False,7084
119,BIO,1,226,0.0073594553,False,False,7150
120,BIO,1,229,0.1284244,False,False,7248
121,games5425898691,0,229,8.045159e-05,False,False,7249
122,BIO,1,229,0.23062944,True,False,7250
123,games5425898691,0,230,0.00015991741,False,False,7251
124,BIO,1,230,0.20346153,False,False,7253
125,games5425898691,0,230,0.00020826321,False,False,7275
126,games5425898691,0,232,0.0008525654,False,False,7313
127,games5425898691,0,233,0.013743348,False,False,7356
128,Cactus Jack sent me,1,235,5.869399e-05,False,False,7406
129,Cactus Jack sent me,1,238,0.016677655,False,False,7480
130,games5425898691,0,241,0.00018435973,False,False,7567
131,Cactus Jack sent me,1,246,0.00020448897,False,False,7711
132,Cactus Jack sent me,1,249,0.0028267603,False,False,7795
133,games5425898691,0,251,0.06815994,False,False,7836
134,BIO,1,255,0.0001396876,False,False,7941
135,BIO,1,257,0.010953696,False,False,8002
136,enpitsu,0,257,0.0008004333,False,False,8017
137,enpitsu,0,262,7.348566e-05,False,False,8138
138,BIO,1,263,0.0049933097,False,False,8176
139,BIO,1,264,0.21837462,True,False,8206
140,BIO,1,264,0.53164315,True,True,8211
141,Cactus Jack sent me,1,265,0.012558266,False,False,8491
142,games5425898691,0,265,0.00022256571,False,False,8492
143,enpitsu,0,268,0.0035912078,False,False,8571
144,BIO,1,270,0.00039645217,False,False,8619
145,games5425898691,0,272,0.004181007,False,False,8659
146,Cactus Jack sent me,1,273,0.0006000821,False,False,8712
147,games5425898691,0,275,0.009070064,False,False,8749
148,enpitsu,0,277,0.004164533,False,False,8820
149,enpitsu,0,280,0.0008572751,False,False,8884
150,Cactus Jack sent me,1,283,0.018383311,False,False,8975
151,games5425898691,0,287,0.001020724,False,False,9081
152,BIO,1,289,0.0075770733,False,False,9132
153,enpitsu,0,290,0.06331722,False,False,9170
154,Cactus Jack sent me,1,292,0.0018158841,False,False,9216
155,games5425898691,0,294,0.00020285211,False,False,9272
156,BIO,1,296,0.0060052583,False,False,9333
157,games5425898691,0,298,0.0007235573,False,False,9384
158,BIO,1,299,0.00084944675,False,False,9426
159,games5425898691,0,300,0.008441443,False,False,9478
160,enpitsu,0,300,0.0026674871,False,False,9552
161,enpitsu,0,300,0.005055463,False,False,9597
162,enpitsu,0,300,0.008377157,False,False,9635
