,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,GoatedBarban,1,0,0.007272562,False,False,179
1,games5425898691,0,0,0.00089240086,False,False,180
2,enpitsu,0,3,0.0070925425,False,False,276
3,enpitsu,0,5,0.12576991,False,False,320
4,eriksa,1,9,0.00024879616,False,False,424
5,enpitsu,0,9,0.31182745,False,False,426
6,GoatedBarban,1,11,0.013534886,False,False,505
7,enpitsu,0,15,0.0004616006,False,False,598
8,eriksa,1,17,0.0021892253,False,False,646
9,eriksa,1,19,0.010609639,False,False,721
10,games5425898691,0,21,0.0007594965,False,False,757
11,games5425898691,0,24,0.0049538095,False,False,855
12,GoatedBarban,1,28,0.0001276827,False,False,964
13,GoatedBarban,1,29,0.00011652078,False,False,984
14,enpitsu,0,33,0.00080910727,False,False,1083
15,GoatedBarban,1,38,0.00012700936,False,False,1230
16,enpitsu,0,39,0.011112976,False,False,1270
17,GoatedBarban,1,41,0.00013335032,False,False,1312
18,games5425898691,0,42,0.2796735,True,False,1344
19,eriksa,1,42,0.0003705107,False,False,1353
20,eriksa,1,44,0.00036111294,False,False,1410
21,eriksa,1,45,0.001240624,False,False,1426
22,enpitsu,0,45,0.13982283,True,False,1431
23,games5425898691,0,47,0.84134763,True,False,1486
24,GoatedBarban,1,47,0.0010185228,False,False,1487
25,GoatedBarban,1,53,0.00032116636,False,False,1647
26,GoatedBarban,1,54,0.00020518368,False,False,1661
27,GoatedBarban,1,54,0.00016088663,False,False,1667
28,GoatedBarban,1,54,8.3060135e-05,False,False,1677
29,games5425898691,0,56,0.00092777604,False,False,1723
30,GoatedBarban,1,57,0.0010445726,False,False,1744
31,GoatedBarban,1,58,0.017473968,False,False,1783
32,enpitsu,0,60,2.0660076e-05,False,False,1829
33,enpitsu,0,62,0.0012019892,False,False,1881
34,GoatedBarban,1,62,0.03506296,False,False,1890
35,enpitsu,0,65,0.0039021908,False,False,1968
36,GoatedBarban,1,67,0.00092989963,False,False,2040
37,enpitsu,0,69,0.020296287,False,False,2096
38,GoatedBarban,1,71,0.0141331935,False,False,2151
39,GoatedBarban,1,73,0.22115238,False,True,2186
40,GoatedBarban,1,75,0.0013083597,False,False,2494
41,enpitsu,0,78,2.9416662e-05,False,False,2574
42,enpitsu,0,82,0.0059987092,False,False,2702
43,enpitsu,0,86,0.32465047,True,False,2817
44,GoatedBarban,1,87,0.0016935332,False,False,2838
45,games5425898691,0,90,0.120266065,True,True,2903
46,enpitsu,0,90,0.0037550319,False,False,3174
47,eriksa,1,90,0.00023401264,False,False,3175
48,GoatedBarban,1,93,0.09780928,False,False,3236
49,enpitsu,0,95,0.012869417,False,False,3309
50,eriksa,1,98,0.010526836,False,False,3394
51,enpitsu,0,101,0.00020674295,False,False,3473
52,eriksa,1,103,0.019819701,False,False,3518
53,enpitsu,0,105,0.00378016,False,False,3565
54,eriksa,1,106,0.0017434151,False,False,3613
55,games5425898691,0,108,0.001770754,False,False,3657
56,games5425898691,0,111,0.010691302,False,False,3742
57,GoatedBarban,1,114,0.0017667372,False,False,3834
58,enpitsu,0,116,0.0040585627,False,False,3874
59,enpitsu,0,119,0.0059714303,False,False,3967
60,enpitsu,0,120,0.0052044205,False,False,3988
61,eriksa,1,120,4.3939002e-05,False,False,3992
62,enpitsu,0,120,0.007185936,False,False,3994
63,eriksa,1,126,0.0028759197,False,False,4149
64,eriksa,1,127,0.0012292473,False,False,4164
65,eriksa,1,127,0.019819357,False,False,4187
66,eriksa,1,128,0.082072854,True,False,4193
67,eriksa,1,131,0.08388407,False,False,4274
68,games5425898691,0,132,0.0026444546,False,False,4323
69,eriksa,1,140,0.000269033,False,False,4532
70,eriksa,1,140,3.9460494e-05,False,False,4547
71,eriksa,1,141,5.5252847e-05,False,False,4564
72,games5425898691,0,141,0.0038778638,False,False,4570
73,GoatedBarban,1,143,0.0026383672,False,False,4628
74,GoatedBarban,1,144,0.001897217,False,False,4646
75,GoatedBarban,1,145,0.0013948439,False,False,4664
76,GoatedBarban,1,145,0.0034788868,False,False,4678
77,games5425898691,0,148,0.0008920064,False,False,4751
78,games5425898691,0,150,0.0053282664,False,False,4823
79,games5425898691,0,154,0.011379784,False,False,4919
80,eriksa,1,156,0.000976363,False,False,4981
81,GoatedBarban,1,160,0.044753987,False,False,5075
82,GoatedBarban,1,162,0.006426486,False,False,5150
83,enpitsu,0,166,0.00021889184,False,False,5239
84,enpitsu,0,166,0.0007884421,False,False,5245
85,enpitsu,0,168,0.0088550355,False,False,5314
86,enpitsu,0,170,0.14308406,True,False,5362
87,eriksa,1,171,0.0004905241,False,False,5402
88,enpitsu,0,175,0.027230235,False,False,5498
89,GoatedBarban,1,175,0.061394013,False,False,5499
90,games5425898691,0,178,0.016977048,False,False,5572
91,enpitsu,0,181,7.235756e-05,False,False,5674
92,GoatedBarban,1,185,0.009262354,False,False,5774
93,enpitsu,0,185,0.0006918708,False,False,5775
94,enpitsu,0,189,0.0016819469,False,False,5891
95,eriksa,1,192,0.035307616,False,False,5958
96,GoatedBarban,1,195,0.005325389,False,False,6058
97,GoatedBarban,1,196,0.006354405,False,False,6079
98,GoatedBarban,1,196,0.0030473107,False,False,6081
99,GoatedBarban,1,197,0.0028209893,False,False,6095
100,GoatedBarban,1,197,0.024600592,False,False,6105
101,games5425898691,0,197,0.0001929808,False,False,6110
102,eriksa,1,200,0.005365904,False,False,6173
103,GoatedBarban,1,202,0.0018388877,False,False,6235
104,GoatedBarban,1,204,0.0069641685,False,False,6302
105,games5425898691,0,204,0.0018106652,False,False,6304
106,enpitsu,0,211,0.007864565,False,False,6493
107,games5425898691,0,215,0.030740293,False,False,6589
108,GoatedBarban,1,218,0.071182095,False,False,6671
109,enpitsu,0,220,0.011297194,False,False,6728
110,eriksa,1,222,0.0090105105,False,False,6787
111,enpitsu,0,222,0.0038222861,False,False,6788
112,games5425898691,0,227,0.37688634,True,True,6917
113,enpitsu,0,229,0.0022925427,False,False,7220
114,eriksa,1,229,0.0007217357,False,False,7222
115,games5425898691,0,233,0.00018230035,False,False,7349
116,eriksa,1,237,6.372271e-05,False,False,7460
117,enpitsu,0,241,0.41563553,True,True,7558
