,shot_taker_name,is_orange,time,xg,shot,goal
0,Rengoku,1,0.0,0.0013165371,False,False
1,games5425898691,0,0.0,0.0018067154,False,False
2,Rengoku,1,0.0,0.0055524996,False,False
3,Rengoku,1,2.0,0.0526727,False,False
4,enpitsu,0,2.0,0.00015999337,False,False
5,Okta_n,1,7.0,0.10166326,False,False
6,enpitsu,0,11.0,0.00041513605,False,False
7,enpitsu,0,12.0,0.0034436695,False,False
8,enpitsu,0,12.0,0.0062434333,False,False
9,Okta_n,1,13.0,0.011149059,False,False
10,Rengoku,1,19.0,0.0026238782,False,False
11,Rengoku,1,21.0,0.043846745,True,False
12,enpitsu,0,22.0,0.010994687,False,False
13,games5425898691,0,27.0,0.003637369,False,False
14,Rengoku,1,29.0,0.003316422,False,False
15,enpitsu,0,31.0,0.0025513505,False,False
16,enpitsu,0,34.0,0.13314562,False,False
17,games5425898691,0,39.0,0.001376381,False,False
18,Rengoku,1,41.0,0.00014280052,False,False
19,Okta_n,1,41.0,0.00023771165,False,False
20,enpitsu,0,45.0,0.00054997567,False,False
21,Okta_n,1,47.0,0.0005565796,False,False
22,Okta_n,1,49.0,0.0038348837,False,False
23,Okta_n,1,50.0,0.006024381,False,False
24,Rengoku,1,51.0,0.10536748,True,False
25,games5425898691,0,51.0,0.024708655,False,False
26,enpitsu,0,54.0,0.0012745096,False,False
27,Rengoku,1,55.0,0.004348336,False,False
28,Okta_n,1,58.0,0.088802546,False,False
29,enpitsu,0,61.0,0.0022681917,False,False
30,Rengoku,1,63.0,0.009233829,False,False
31,games5425898691,0,65.0,7.51504e-05,False,False
32,games5425898691,0,67.0,0.006884586,False,False
33,games5425898691,0,71.0,0.08038797,True,True
34,Rengoku,1,72.0,0.00037388454,False,False
35,Okta_n,1,72.0,0.0003177165,False,False
36,enpitsu,0,72.0,0.0005786422,False,False
37,Rengoku,1,74.0,0.00095391704,False,False
38,Rengoku,1,75.0,0.0002465695,False,False
39,games5425898691,0,77.0,0.003450469,False,False
40,games5425898691,0,80.0,0.08351594,False,False
41,Okta_n,1,83.0,6.300541e-05,False,False
42,Okta_n,1,86.0,0.002147179,False,False
43,Okta_n,1,86.0,0.09169908,True,False
44,enpitsu,0,87.0,0.00086429226,False,False
45,Rengoku,1,90.0,0.010324561,False,False
46,games5425898691,0,92.0,0.0012278412,False,False
47,enpitsu,0,95.0,0.022548331,False,False
48,Rengoku,1,99.0,2.2483802e-05,False,False
49,games5425898691,0,102.0,0.12620975,False,False
50,Okta_n,1,103.0,0.00021083359,False,False
51,Okta_n,1,104.0,0.0002331303,False,False
52,Okta_n,1,105.0,0.00021557273,False,False
53,games5425898691,0,107.0,0.00069244794,False,False
54,enpitsu,0,109.0,0.0013544236,False,False
55,enpitsu,0,111.0,0.07801625,True,False
56,Rengoku,1,111.0,0.007103222,False,False
57,games5425898691,0,113.0,0.004407541,False,False
58,Rengoku,1,117.0,0.6318365,True,True
59,Rengoku,1,118.0,0.00091441674,False,False
60,games5425898691,0,118.0,0.0037018957,False,False
61,Rengoku,1,118.0,0.00044680617,False,False
62,Okta_n,1,125.0,0.008270409,False,False
63,games5425898691,0,128.0,0.00022688149,False,False
64,Okta_n,1,129.0,0.21266162,False,False
65,games5425898691,0,134.0,0.45871088,True,True
66,Okta_n,1,135.0,0.0017915905,False,False
67,enpitsu,0,135.0,0.008409525,False,False
68,enpitsu,0,140.0,0.16699049,False,False
69,enpitsu,0,140.0,0.013165152,False,False
70,Rengoku,1,141.0,0.005152897,False,False
71,games5425898691,0,141.0,0.009267138,False,False
72,enpitsu,0,143.0,0.0024983874,False,False
73,Rengoku,1,145.0,0.16397975,False,False
74,Rengoku,1,147.0,0.8168412,True,True
75,games5425898691,0,147.0,0.00044093776,False,False
76,Rengoku,1,147.0,0.000478202,False,False
77,Rengoku,1,148.0,0.00033190803,False,False
78,Okta_n,1,148.0,0.020513235,False,False
79,enpitsu,0,148.0,0.01672795,False,False
80,Rengoku,1,148.0,0.00062395894,False,False
81,games5425898691,0,152.0,0.0010779974,False,False
82,Rengoku,1,154.0,0.004167669,False,False
83,games5425898691,0,155.0,0.0022901741,False,False
84,Rengoku,1,155.0,5.414667e-05,False,False
85,Rengoku,1,157.0,0.00059781154,False,False
86,Okta_n,1,158.0,0.00029756103,False,False
87,Okta_n,1,161.0,0.0010215796,False,False
88,Okta_n,1,163.0,0.018009761,False,False
89,enpitsu,0,164.0,0.00011172092,False,False
90,Okta_n,1,165.0,0.00063265435,False,False
91,Rengoku,1,168.0,0.0015862989,False,False
92,Rengoku,1,169.0,0.114035666,False,False
93,games5425898691,0,170.0,0.0027360455,False,False
94,enpitsu,0,172.0,0.0021404803,False,False
95,enpitsu,0,176.0,0.026469914,False,False
96,Okta_n,1,179.0,0.0024136284,False,False
97,games5425898691,0,180.0,0.00035482124,False,False
98,Okta_n,1,184.0,0.00070890586,False,False
99,Okta_n,1,186.0,2.8875811e-05,False,False
100,Okta_n,1,188.0,9.6551776e-05,False,False
101,Okta_n,1,190.0,0.00092408084,False,False
102,Okta_n,1,191.0,0.036868025,False,False
103,enpitsu,0,192.0,0.00020314787,False,False
104,enpitsu,0,194.0,0.0023465727,False,True
105,Rengoku,1,197.0,0.00010248752,False,False
106,Okta_n,1,197.0,0.00011351655,False,False
107,Rengoku,1,198.0,0.0011979704,False,False
108,games5425898691,0,198.0,0.00244615,False,False
109,Rengoku,1,198.0,0.00056165777,False,False
110,games5425898691,0,202.0,0.012401193,False,False
111,enpitsu,0,203.0,0.3174332,True,True
112,enpitsu,0,205.0,0.01246568,False,False
113,enpitsu,0,209.0,0.0037480155,False,False
114,Okta_n,1,214.0,0.00026891785,False,False
115,Okta_n,1,214.0,0.013637874,False,False
116,Okta_n,1,217.0,0.004706353,False,False
117,enpitsu,0,219.0,0.004421698,False,False
118,Rengoku,1,220.0,0.0006120489,False,False
119,enpitsu,0,220.0,0.10826894,False,False
120,games5425898691,0,224.0,0.00023727305,False,False
121,Okta_n,1,224.0,0.0076473793,False,True
122,Rengoku,1,228.0,0.0014297413,False,False
123,games5425898691,0,228.0,0.005450562,False,False
124,Okta_n,1,230.0,0.031304624,False,False
125,enpitsu,0,233.0,0.0015820723,False,False
126,Okta_n,1,236.0,8.767608e-06,False,False
127,Okta_n,1,238.0,0.00046038025,False,False
128,enpitsu,0,242.0,0.007832643,False,False
129,Rengoku,1,244.0,0.0028969902,False,False
130,Rengoku,1,246.0,2.5425805e-05,False,False
131,Rengoku,1,248.0,0.00011814554,False,False
132,Rengoku,1,248.0,0.00019376517,False,False
133,Rengoku,1,249.0,0.00029162073,False,False
134,games5425898691,0,249.0,0.018742694,False,False
135,games5425898691,0,250.0,0.0037101407,False,False
136,games5425898691,0,251.0,0.0011971445,False,False
137,games5425898691,0,252.0,0.00030800843,False,False
138,games5425898691,0,253.0,0.002818883,False,False
139,Okta_n,1,255.0,0.0027672772,False,False
140,Okta_n,1,257.0,0.074798316,True,False
141,enpitsu,0,259.0,0.00023214701,False,False
142,enpitsu,0,261.0,4.8934813e-05,False,False
143,Rengoku,1,262.0,0.0023102984,False,False
144,games5425898691,0,264.0,0.002638977,False,False
145,Rengoku,1,267.0,0.008325587,False,False
146,Rengoku,1,269.0,0.0315544,False,False
147,Rengoku,1,269.0,0.0015526563,False,False
148,Rengoku,1,270.0,0.0038910967,False,False
149,enpitsu,0,270.0,0.00014690217,False,False
150,Rengoku,1,270.0,0.001784902,False,False
151,Rengoku,1,273.0,0.00030021224,False,False
