,shot_taker_name,is_orange,time,xg,shot,goal
0,games5425898691,1,0.0,0.011800981,False,False
1,enpitsu,1,5.0,0.005094107,False,False
2,ManBearPig,0,12.0,0.0005083396,False,False
3,ManBearPig,0,13.0,0.0012017379,False,False
4,ManBearPig,0,14.0,0.004308475,False,False
5,ManBearPig,0,14.0,0.027603779,False,False
6,ManBearPig,0,15.0,0.018450638,False,False
7,ManBearPig,0,15.0,0.03476691,True,False
8,ManBearPig,0,16.0,0.08376578,True,False
9,ManBearPig,0,16.0,0.07530452,True,False
10,ManBearPig,0,16.0,0.114268705,True,False
11,ManBearPig,0,17.0,0.30119863,True,False
12,enpitsu,1,17.0,0.0038089207,False,False
13,enpitsu,1,22.0,0.0015116401,False,False
14,enpitsu,1,22.0,0.01254911,False,False
15,OptimisT,0,25.0,0.00918308,False,False
16,OptimisT,0,29.0,0.27539098,False,False
17,enpitsu,1,29.0,9.206901e-05,False,False
18,games5425898691,1,32.0,0.009640343,False,False
19,games5425898691,1,35.0,0.01031895,True,False
20,ManBearPig,0,36.0,0.000917455,False,False
21,ManBearPig,0,40.0,0.016137157,False,False
22,enpitsu,1,40.0,0.05632167,False,False
23,ManBearPig,0,41.0,0.0025827829,False,False
24,OptimisT,0,43.0,0.2348757,True,False
25,games5425898691,1,44.0,0.0003778983,False,False
26,games5425898691,1,46.0,0.0982746,False,False
27,enpitsu,1,51.0,0.0106064165,False,False
28,OptimisT,0,53.0,0.00028344739,False,False
29,OptimisT,0,55.0,0.0016617236,False,False
30,enpitsu,1,57.0,0.0005396702,False,False
31,OptimisT,0,60.0,0.0021074424,False,False
32,ManBearPig,0,60.0,0.001653317,False,False
33,enpitsu,1,64.0,0.01310001,True,False
34,enpitsu,1,65.0,0.32575727,True,False
35,enpitsu,1,66.0,0.33383164,True,True
36,enpitsu,1,66.0,0.010039238,False,False
37,ManBearPig,0,66.0,0.0009847357,False,False
38,enpitsu,1,66.0,0.0005706923,False,False
39,enpitsu,1,67.0,0.0022605956,False,False
40,OptimisT,0,68.0,0.16964868,False,False
41,games5425898691,1,69.0,0.0012281945,False,False
42,OptimisT,0,74.0,0.0039796457,False,False
43,games5425898691,1,77.0,0.0008591695,False,False
44,ManBearPig,0,79.0,0.0040597,False,False
45,enpitsu,1,82.0,0.00012569861,False,False
46,OptimisT,0,84.0,0.014658214,False,False
47,enpitsu,1,88.0,0.00019792945,False,False
48,enpitsu,1,92.0,0.13169204,False,False
49,ManBearPig,0,94.0,0.041584045,False,False
50,games5425898691,1,97.0,0.0013432231,False,False
51,OptimisT,0,99.0,0.028360698,False,False
52,enpitsu,1,102.0,0.02263759,False,False
53,enpitsu,1,106.0,0.005270906,False,False
54,OptimisT,0,108.0,0.0012947706,False,False
55,games5425898691,1,110.0,0.005616829,False,False
56,OptimisT,0,113.0,0.0018542522,False,False
57,enpitsu,1,114.0,0.5705305,True,True
58,OptimisT,0,115.0,0.001790362,False,False
59,games5425898691,1,115.0,0.012521958,False,False
60,enpitsu,1,121.0,0.09135635,False,False
61,OptimisT,0,124.0,0.043854203,False,False
62,games5425898691,1,125.0,0.0006483677,False,False
63,OptimisT,0,127.0,0.310217,False,False
64,OptimisT,0,130.0,0.0016289972,False,False
65,games5425898691,1,131.0,0.001236604,False,False
66,games5425898691,1,132.0,0.11348971,False,False
67,enpitsu,1,135.0,0.18745002,False,False
68,OptimisT,0,139.0,0.013439655,False,False
69,enpitsu,1,143.0,0.00115449,False,False
70,ManBearPig,0,146.0,0.2135232,True,False
71,enpitsu,1,146.0,0.0010847574,False,False
72,ManBearPig,0,146.0,0.27489448,False,False
73,enpitsu,1,146.0,0.0008483645,False,False
74,enpitsu,1,147.0,0.000804994,False,False
75,games5425898691,1,148.0,0.027325684,False,False
76,enpitsu,1,149.0,0.009788621,False,False
77,enpitsu,1,150.0,0.15606806,True,False
78,ManBearPig,0,150.0,0.0017305482,False,False
79,ManBearPig,0,154.0,0.001818781,False,False
80,enpitsu,1,156.0,0.00491476,False,False
81,enpitsu,1,159.0,0.009164053,False,False
82,games5425898691,1,161.0,0.07799797,False,False
83,enpitsu,1,163.0,0.88505846,True,True
84,ManBearPig,0,164.0,0.00035991485,True,False
85,OptimisT,0,168.0,0.0005515053,False,False
86,enpitsu,1,171.0,0.13228518,False,False
87,ManBearPig,0,174.0,0.038811505,False,False
88,enpitsu,1,177.0,0.00020120782,False,False
89,games5425898691,1,179.0,0.0065404917,False,False
90,games5425898691,1,182.0,0.04451944,False,False
91,enpitsu,1,185.0,0.03815521,False,False
92,games5425898691,1,187.0,0.77444965,True,True
93,ManBearPig,0,188.0,0.0018948638,False,False
94,enpitsu,1,188.0,0.024854485,False,False
95,enpitsu,1,190.0,0.0005086292,False,False
96,OptimisT,0,191.0,0.002161677,False,False
97,games5425898691,1,195.0,0.0011781843,False,False
98,OptimisT,0,198.0,0.012704387,False,False
99,enpitsu,1,203.0,0.00035282472,False,False
100,ManBearPig,0,205.0,0.018566642,False,False
101,enpitsu,1,207.0,0.0001938437,False,False
102,games5425898691,1,209.0,0.00017411348,False,False
103,enpitsu,1,211.0,0.0011432198,False,False
104,enpitsu,1,212.0,0.034635082,False,False
105,OptimisT,0,213.0,0.017085062,False,False
106,OptimisT,0,217.0,0.040275626,False,False
107,games5425898691,1,219.0,0.007380738,False,False
108,games5425898691,1,225.0,0.014495927,False,False
109,ManBearPig,0,226.0,6.11557e-05,False,False
110,OptimisT,0,229.0,0.0047191754,False,False
111,ManBearPig,0,234.0,0.012858347,False,False
112,ManBearPig,0,236.0,0.3367327,False,False
113,games5425898691,1,236.0,0.00084789365,False,False
114,ManBearPig,0,236.0,0.21080147,False,False
115,enpitsu,1,238.0,0.0016650152,False,False
116,enpitsu,1,239.0,0.0049837073,False,False
117,ManBearPig,0,241.0,0.0014507055,False,False
118,games5425898691,1,243.0,0.00057662383,False,False
119,games5425898691,1,245.0,0.55544317,False,False
120,OptimisT,0,246.0,0.00034304024,False,False
121,enpitsu,1,248.0,0.35805967,True,False
122,OptimisT,0,248.0,0.013277811,False,False
123,enpitsu,1,248.0,0.26827878,False,False
124,ManBearPig,0,253.0,0.018360851,True,False
125,ManBearPig,0,254.0,0.16184562,True,False
126,ManBearPig,0,254.0,0.4767828,True,False
127,games5425898691,1,255.0,0.0003144185,False,False
128,enpitsu,1,258.0,0.023083627,False,False
129,OptimisT,0,258.0,0.0037344424,False,False
130,games5425898691,1,262.0,0.0010654898,False,False
131,ManBearPig,0,265.0,0.00094465323,False,False
132,ManBearPig,0,266.0,0.0063229753,False,False
133,ManBearPig,0,267.0,0.019403033,False,False
134,ManBearPig,0,267.0,0.033081137,False,False
135,ManBearPig,0,269.0,0.031852715,False,False
136,OptimisT,0,271.0,0.7013426,False,False
137,ManBearPig,0,277.0,0.0018732223,False,False
138,ManBearPig,0,279.0,0.015444608,True,False
139,ManBearPig,0,280.0,0.11428676,True,False
140,enpitsu,1,280.0,0.0009333667,False,False
141,OptimisT,0,283.0,0.00047866578,False,False
142,enpitsu,1,287.0,0.013023457,False,False
143,ManBearPig,0,293.0,0.000658394,False,False
144,OptimisT,0,295.0,0.0067540645,False,False
145,games5425898691,1,295.0,0.0010203861,False,False
146,enpitsu,1,299.0,0.0053126914,False,False
147,enpitsu,1,,0.0016366645,False,False
