,shot_taker_name,is_orange,time,xg,shot,goal
0,ZnOx_ArK7,0,0,0.0016328107,True,False
1,games5425898691,1,0,0.0031203527,False,False
2,obey-Supremee_,0,2,0.00050593785,False,False
3,games5425898691,1,3,0.0011413813,False,False
4,obey-Supremee_,0,5,0.0062262705,False,False
5,obey-Supremee_,0,11,0.0002582801,False,False
6,obey-Supremee_,0,12,0.007783154,False,False
7,obey-Supremee_,0,12,0.002867866,False,False
8,obey-Supremee_,0,13,0.31380332,True,False
9,obey-Supremee_,0,13,0.13802403,True,False
10,games5425898691,1,14,0.0003675214,False,False
11,ZnOx_ArK7,0,17,0.00091966544,False,False
12,games5425898691,1,20,0.0031078027,False,False
13,obey-Supremee_,0,23,0.0015670321,False,False
14,enpitsu,1,28,0.0011716026,False,False
15,enpitsu,1,31,0.0049899085,False,False
16,ZnOx_ArK7,0,33,0.00040358506,False,False
17,ZnOx_ArK7,0,36,0.0035744996,False,False
18,ZnOx_ArK7,0,37,0.0014421818,False,False
19,ZnOx_ArK7,0,37,0.0030890561,False,False
20,ZnOx_ArK7,0,38,0.010362111,False,False
21,ZnOx_ArK7,0,38,0.0010019562,False,False
22,enpitsu,1,39,8.467415e-05,False,False
23,enpitsu,1,39,5.6392702e-05,False,False
24,enpitsu,1,40,3.055542e-05,False,False
25,ZnOx_ArK7,0,40,0.02486346,False,False
26,enpitsu,1,40,3.9211078e-05,False,False
27,ZnOx_ArK7,0,43,0.02081218,False,False
28,enpitsu,1,45,0.0010879604,False,False
29,obey-Supremee_,0,49,0.0018858433,False,False
30,obey-Supremee_,0,50,0.0018972849,False,False
31,ZnOx_ArK7,0,53,0.07411342,False,False
32,games5425898691,1,55,0.00044447402,False,False
33,games5425898691,1,58,0.0006215839,False,False
34,games5425898691,1,60,0.00052364415,False,False
35,games5425898691,1,60,0.010597203,False,False
36,games5425898691,1,63,0.0017938585,False,False
37,games5425898691,1,66,0.14192244,False,False
38,enpitsu,1,69,0.3781591,True,True
39,ZnOx_ArK7,0,70,0.0060506356,False,False
40,ZnOx_ArK7,0,70,0.0038462034,True,False
41,games5425898691,1,70,0.0020446125,False,False
42,enpitsu,1,77,0.006923167,False,False
43,obey-Supremee_,0,80,0.0013265231,False,False
44,enpitsu,1,82,0.0017276084,False,False
45,obey-Supremee_,0,82,0.0032455856,False,False
46,enpitsu,1,82,0.0024287791,False,False
47,ZnOx_ArK7,0,85,0.01295692,False,False
48,games5425898691,1,89,0.00023909798,False,False
49,obey-Supremee_,0,91,0.111690916,True,True
50,ZnOx_ArK7,0,93,0.0013402387,True,False
51,games5425898691,1,93,0.0031870962,False,False
52,ZnOx_ArK7,0,93,0.006462865,False,False
53,obey-Supremee_,0,97,0.0012974846,False,False
54,enpitsu,1,99,0.021634845,False,False
55,enpitsu,1,103,0.07482324,False,False
56,obey-Supremee_,0,103,0.0031569402,False,False
57,enpitsu,1,103,0.005549954,False,False
58,ZnOx_ArK7,0,103,0.0020923275,False,False
59,ZnOx_ArK7,0,105,0.0003663595,False,False
60,obey-Supremee_,0,113,0.15186961,False,False
61,enpitsu,1,113,0.0023036704,False,False
62,enpitsu,1,118,0.0008281478,False,False
63,enpitsu,1,121,0.011119993,False,False
64,ZnOx_ArK7,0,121,0.048806354,False,False
65,enpitsu,1,121,0.0027957694,False,False
66,games5425898691,1,126,0.0010113925,False,False
67,ZnOx_ArK7,0,129,0.095670916,True,False
68,enpitsu,1,131,0.0040389774,False,False
69,enpitsu,1,134,0.004923828,False,False
70,obey-Supremee_,0,135,0.0011601427,False,False
71,ZnOx_ArK7,0,141,0.0012370811,False,False
72,ZnOx_ArK7,0,141,0.00037055116,False,False
73,ZnOx_ArK7,0,141,0.00025204994,False,False
74,ZnOx_ArK7,0,142,0.0006818317,False,False
75,ZnOx_ArK7,0,142,0.000494373,False,False
