,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,ErPablixx,1,0.0,0.001405219,False,False,172
1,ErPablixx,1,0.0,0.0007724771,False,False,180
2,ErPablixx,1,0.0,0.0018791695,False,False,191
3,ErPablixx,1,1.0,0.027700365,False,False,213
4,enpitsu,0,1.0,0.0025282286,False,False,214
5,ErPablixx,1,1.0,0.0058368607,False,False,216
6,games5425898691,0,3.0,0.1809453,False,True,264
7,monserdock7,1,7.0,0.01937603,False,False,633
8,enpitsu,0,7.0,0.011348353,False,False,634
9,ErPablixx,1,10.0,0.00031555872,False,False,726
10,games5425898691,0,12.0,0.20613225,False,False,776
11,ErPablixx,1,14.0,0.00021186778,False,False,817
12,ErPablixx,1,16.0,0.0020409392,False,False,889
13,ErPablixx,1,19.0,0.00023894462,False,False,972
14,games5425898691,0,20.0,0.0024641496,False,False,1001
15,games5425898691,0,24.0,0.19079614,True,False,1094
16,ErPablixx,1,25.0,0.00057927787,False,False,1120
17,enpitsu,0,26.0,0.0031815383,False,False,1159
18,ErPablixx,1,28.0,0.0020560513,False,False,1204
19,ErPablixx,1,29.0,0.030580565,False,False,1227
20,games5425898691,0,32.0,0.008624969,False,False,1309
21,games5425898691,0,35.0,0.62433475,True,False,1411
22,games5425898691,0,36.0,0.94622594,True,True,1416
23,ErPablixx,1,36.0,0.008504691,True,False,1671
24,games5425898691,0,36.0,0.01333827,False,False,1672
25,games5425898691,0,42.0,0.4727566,True,True,1856
26,monserdock7,1,43.0,0.008668819,False,False,2121
27,enpitsu,0,43.0,0.008313164,False,False,2122
28,ErPablixx,1,46.0,0.00060830085,False,False,2219
29,ErPablixx,1,48.0,0.006238119,False,False,2261
30,games5425898691,0,51.0,0.009959257,False,False,2344
31,ErPablixx,1,53.0,0.018812448,False,False,2398
32,games5425898691,0,54.0,0.01830099,False,False,2437
33,games5425898691,0,57.0,0.0035985317,False,False,2512
34,games5425898691,0,57.0,0.004375084,False,False,2516
35,enpitsu,0,60.0,0.013406927,False,False,2584
36,monserdock7,1,61.0,0.009267134,False,False,2617
37,games5425898691,0,65.0,0.00886013,False,False,2730
38,games5425898691,0,68.0,0.15547794,True,False,2817
39,monserdock7,1,70.0,0.00093010685,False,False,2860
40,enpitsu,0,71.0,0.25815365,False,False,2904
41,games5425898691,0,74.0,0.13965827,False,False,2980
42,enpitsu,0,79.0,0.0015389528,False,False,3117
43,ErPablixx,1,79.0,0.00016043564,False,False,3119
44,games5425898691,0,81.0,0.11930846,False,False,3155
45,monserdock7,1,81.0,0.009695887,False,False,3156
46,ErPablixx,1,84.0,0.00034979955,False,False,3257
